location_tag,province,owner,rank,rgo,capacity_people,pops_people,over_capacity,processor,processor_levels,farm,farm_levels,land_levels_available,farm_land_people,farm_limit
bremervorde,elbmarch_province,BRE,rural_settlement,millet,174380.0,6368.0,false,"",0,farming_village,3,32,15000.0,workers
malmo,malmohus_province,SKE,rural_settlement,fish,92230.0,24752.0,false,fishing_village,3,"",0,0,0.0,""
boguchar,kashary_province,GLH,rural_settlement,wool,41100.0,4689.999999999999,false,"",0,sheep_farms,1,17,2000.0,workers
shuuchi,tootoumi_province,JAP,rural_settlement,tea,49100.0,31291.999999999996,false,"",0,"",0,0,0.0,""
zmeinogorsk,zmeinogorsk_province,OGE,rural_settlement,lumber,32600.0,1595.0,false,lumber_mill,0,"",0,0,0.0,""
flensburg,slesvig_province,SLV,town,livestock,163250.0,20584.0,false,"",0,farming_village,6,27,30000.0,cap
chicaquicha,chunsa_province,ZIP,rural_settlement,salt,93750.0,25507.0,false,inland_saltworks,2,"",0,0,0.0,""
corabia,south_oltenia_province,WAL,rural_settlement,beeswax,103120.0,8068.0,false,"",0,farming_village,4,18,20000.0,workers
bula_kongo,kinhasa_province,VUN,rural_settlement,wheat,57800.0,57657.0,false,"",0,farming_village,0,0,0.0,land
perugia,perugia_province,PEA,city,livestock,195970.0,47295.0,false,"",0,farming_village,6,28,30000.0,cap
amesbury,wiltshire_province,ENG,rural_settlement,wool,133650.0,33934.0,false,"",0,sheep_farms,6,49,12000.0,cap
thurso,sutherland_province,SCO,rural_settlement,fish,118630.0,2929.0,false,fishing_village,1,farming_village,0,22,0.0,workers
muarakaman,upper_mahakam_province,MRP,rural_settlement,beeswax,33000.0,1880.0,false,"",0,farming_village,0,5,0.0,workers
mull,inner_hebrides_province,LOI,rural_settlement,fish,46100.0,2004.0,false,"",0,"",0,0,0.0,""
kaga,kaga_province,JAP,rural_settlement,fish,79650.0,46404.0,false,fishing_village,3,"",0,0,0.0,""
kohtali,punjab_hills_province,KSH,rural_settlement,livestock,93120.0,19398.0,false,"",0,farming_village,6,13,30000.0,cap
bahariyya,oasis_province,MAM,rural_settlement,iron,32600.0,4279.0,false,iron_mine,2,"",0,0,0.0,""
asaita,mora_province,IFA,rural_settlement,livestock,32400.0,10305.0,false,"",0,farming_village,3,3,15000.0,land
simmern,eifel_province,PSZ,rural_settlement,livestock,110040.0,8855.0,false,"",0,farming_village,5,19,25000.0,workers
memel,lithuania_minor_province,TEU,rural_settlement,sand,60210.0,7087.0,false,sand_pit,1,"",0,0,0.0,""
insuyu,aksaray_province,KAR,rural_settlement,dyes,40900.0,6106.0,false,"",0,"",0,0,0.0,""
akyazi,bolu_province,TUR,rural_settlement,silk,79320.0,35609.0,false,"",0,"",0,0,0.0,""
saalfelden,pinzgau_province,SLZ,rural_settlement,millet,41100.0,9384.0,false,"",0,farming_village,5,5,25000.0,land
dahlak,balaw_province,DHK,rural_settlement,pearls,11800.0,2261.0,false,"",0,"",0,0,0.0,""
pipli,nadia_province,STN,rural_settlement,dyes,193690.0,146611.0,false,"",0,"",0,0,0.0,""
tun,turaythith_province,KHT,rural_settlement,saffron,23100.0,3022.0,false,"",0,"",0,0,0.0,""
totma,totma_province,NOV,rural_settlement,salt,24700.0,4000.0,false,inland_saltworks,1,"",0,0,0.0,""
imbros,lemnos_province,BYZ,rural_settlement,fish,37800.0,2867.0,false,fishing_village,1,"",0,0,0.0,""
nykoping,sodermanland_province,SWE,rural_settlement,fish,58310.0,11761.999999999998,false,fishing_village,3,"",0,0,0.0,""
parigi,donggala_province,PJT,rural_settlement,fish,39300.0,641.0,false,fishing_village,0,"",0,0,0.0,""
holic,pozsony_province,HUN,rural_settlement,lumber,142150.0,17814.999999999996,false,lumber_mill,2,"",0,0,0.0,""
qatruyeh,sirjan_province,UGH,rural_settlement,wool,20400.0,2438.0,false,"",0,sheep_farms,1,8,2000.0,workers
tolmezzo,friuli_province,AQU,rural_settlement,copper,42500.0,39525.0,false,copper_mine,1,"",0,0,0.0,""
dhahran,sana_province,YAM,rural_settlement,fruit,11600.0,7297.0,false,"",0,fruit_orchard,0,0,0.0,land
qinyuan,qinzhou_province,CHI,rural_settlement,livestock,118110.0,37964.99999999999,false,"",0,farming_village,6,15,30000.0,cap
ghent,east_flanders_province,FLA,city,wool,125110.0,62742.00000000001,false,"",0,sheep_farms,6,30,12000.0,cap
kharpunath,upper_ghaghara_province,KHS,rural_settlement,wool,35300.0,13933.0,false,"",0,sheep_farms,6,10,12000.0,cap
pomata,hatunqulla_province,LUP,rural_settlement,maize,53280.0,51817.0,false,"",0,farming_village,0,0,0.0,land
lens,lower_artois_province,ARS,rural_settlement,wheat,133440.0,25430.0,false,"",0,farming_village,6,20,30000.0,cap
buteha,chol_province,OTC,rural_settlement,wild_game,38800.0,13972.0,false,forest_village,0,"",0,0,0.0,""
vilkaviskis,kaunas_province,LIT,rural_settlement,millet,48100.0,8615.0,false,"",0,farming_village,5,6,25000.0,workers
nizwa,nizwa_province,OMA,rural_settlement,fruit,13700.0,4008.9999999999995,false,"",0,fruit_orchard,0,0,0.0,land
delijan,golpayegan_province,HDN,rural_settlement,wheat,39010.0,10795.0,false,"",0,farming_village,4,4,20000.0,land
sihor,gohilwad,GHL,rural_settlement,cotton,134840.0,153500.0,true,"",0,"",0,0,0.0,""
surame,kebbi_province,ZAM,rural_settlement,rice,51300.0,14599.0,false,"",0,farming_village,3,6,15000.0,workers
gaoyou,gaoyou_province,CHI,town,wheat,354320.0,139832.0,false,"",0,farming_village,6,41,30000.0,cap
martinafr,otranto_province,NAP,rural_settlement,livestock,120330.0,32256.999999999996,false,"",0,farming_village,6,16,30000.0,cap
malbork,upper_prussia_province,TEU,rural_settlement,wheat,120150.0,21489.0,false,"",0,farming_village,6,18,30000.0,cap
fayzabad,badakhshan_province,BKH,rural_settlement,gems,34900.0,19676.000000000004,false,gem_gravel_pit,1,"",0,0,0.0,""
lushi,songzhou_province,CHI,town,medicaments,68500.0,55308.0,false,"",0,"",0,0,0.0,""
manjung,perak_province,MNJ,rural_settlement,tin,65640.0,49979.0,false,tin_streamworks,1,"",0,0,0.0,""
dol,rennais_province,BRI,rural_settlement,livestock,169170.0,19672.0,false,"",0,farming_village,6,28,30000.0,cap
marjina_horka,minsk_province,LIT,rural_settlement,livestock,45900.0,16703.0,false,"",0,farming_village,4,4,20000.0,land
zhenning,anshun_province,PDN,rural_settlement,wheat,69300.0,5053.0,false,"",0,farming_village,0,11,0.0,workers
koscian,koscian_province,POL,rural_settlement,millet,83220.0,8625.0,false,"",0,farming_village,5,13,25000.0,workers
gniezno,gniezno_province,POL,rural_settlement,millet,49900.0,12454.0,false,"",0,farming_village,6,6,30000.0,land
kuenga,shilka_province,CHI,rural_settlement,fur,13100.0,10300.0,false,forest_village,0,"",0,0,0.0,""
shidai,chizhou_province,CHI,rural_settlement,silk,52600.0,31197.000000000004,false,"",0,"",0,0,0.0,""
zongolica,cuauhtochco_province,TEO,rural_settlement,lumber,33300.0,9019.0,false,lumber_mill,1,"",0,0,0.0,""
serkar,yushu_province,LGT,rural_settlement,livestock,5600.0,4564.999999999999,false,"",0,farming_village,0,0,0.0,land
meteleu,south_muntenia_province,WAL,rural_settlement,lumber,53300.0,5896.0,false,lumber_mill,2,"",0,0,0.0,""
al_farah_ula,qura_province,MAM,rural_settlement,legumes,8300.0,2904.0,false,"",0,farming_village,0,0,0.0,land
kartauzh,yendyr_province,KND,rural_settlement,lumber,8200.0,1056.0,false,lumber_mill,0,"",0,0,0.0,""
lakhsar,bela_province,KHZ,rural_settlement,livestock,31000.0,3225.0,false,"",0,farming_village,0,4,0.0,workers
cadereyta,axocopan_province,MET,rural_settlement,goods_gold,50310.0,50157.99999999999,false,gold_diggings,1,"",0,0,0.0,""
dumbarton,strathclyde_province,SCO,rural_settlement,wool,126040.0,8548.0,false,"",0,sheep_farms,2,58,4000.0,workers
velyka_novosilka,kalmius_province,GLH,rural_settlement,millet,34900.0,4191.0,false,"",0,farming_village,1,5,5000.0,workers
yingde,yingde_province,CHI,rural_settlement,tea,84950.0,15328.0,false,"",0,"",0,0,0.0,""
zhytomyr,zhytomyr_province,KIE,rural_settlement,livestock,57510.0,20989.0,false,"",0,farming_village,6,6,30000.0,land
haugalandet,rogaland_province,NOR,rural_settlement,fish,55110.0,4947.0,false,fishing_village,2,"",0,0,0.0,""
bilma,kawar_province,KBO,rural_settlement,salt,18640.0,17934.0,false,inland_saltworks,2,"",0,0,0.0,""
longxi_gongchang,gongchang_province,CHI,town,medicaments,73900.0,55041.99999999999,false,"",0,"",0,0,0.0,""
nagold,schwarzwald_province,WUR,rural_settlement,wild_game,72220.0,12965.0,false,forest_village,2,"",0,0,0.0,""
borgarnes,west_farthing,ICE,rural_settlement,stone,34000.0,1015.9999999999998,false,stone_quarry,0,"",0,0,0.0,""
andong,andong_province,KOR,town,livestock,117320.0,59714.00000000001,false,"",0,farming_village,6,10,30000.0,cap
pitigliano,grosseto_province,PTG,rural_settlement,horses,122640.0,28935.999999999996,false,"",0,farming_village,6,17,30000.0,cap
tunxi,huizhou_province,CHI,rural_settlement,silk,229940.0,44550.0,false,"",0,"",0,0,0.0,""
chelva,valencia_province,ARA,rural_settlement,beeswax,41600.0,12767.999999999998,false,"",0,farming_village,4,4,20000.0,land
rzeszow,przemysl_province,HAL,rural_settlement,millet,92130.0,19958.0,false,"",0,farming_village,6,13,30000.0,cap
qinjiang,huizhou_guangdong_province,CHI,rural_settlement,sugar,53400.0,6204.999999999999,false,"",0,"",0,0,0.0,""
oriel,oriel_province,AMA,rural_settlement,millet,102640.0,1195.0,false,"",0,farming_village,0,19,0.0,workers
wunsiedel,frankische_schweiz_province,ANS,rural_settlement,marble,118650.0,14778.0,false,marble_quarry,1,"",0,0,0.0,""
quy_chau,dien_chau_province,DAI,rural_settlement,lumber,42600.0,22076.0,false,lumber_mill,2,"",0,0,0.0,""
elbistan,marash_province,DUL,town,livestock,105620.0,23431.0,false,"",0,farming_village,6,15,30000.0,cap
ena,mino_province,JAP,rural_settlement,lumber,51700.0,23735.0,false,lumber_mill,2,"",0,0,0.0,""
ikorundu,ijebu_province,IJB,rural_settlement,pearls,47100.0,43147.0,false,"",0,"",0,0,0.0,""
sepeh,bam_province,KHN,rural_settlement,sand,21300.0,2930.0,false,sand_pit,0,"",0,0,0.0,""
ootsu,nagato_province,JAP,rural_settlement,copper,49600.0,34641.99999999999,false,copper_mine,1,"",0,0,0.0,""
alstahaug,nordland_province,NOR,rural_settlement,fish,8300.0,755.0,false,fishing_village,0,"",0,0,0.0,""
znin,znin_province,POL,rural_settlement,wheat,46500.0,7724.0,false,"",0,farming_village,4,6,20000.0,workers
arlon,east_luxembourg_province,LUX,rural_settlement,iron,59510.0,9762.0,false,iron_mine,2,"",0,0,0.0,""
tochtepec,tochtepec_province,TOH,rural_settlement,cocoa,113740.0,17113.0,false,"",0,"",0,0,0.0,""
nochistlan,teulinchan_province,XOC,rural_settlement,wild_game,78730.0,4641.0,false,forest_village,1,"",0,0,0.0,""
shorkot,rechna_doab_province,DLH,rural_settlement,cotton,130430.0,52129.99999999999,false,"",0,farming_village,6,14,30000.0,cap
barara,shewa_province,ETH,rural_settlement,wheat,50800.0,33167.0,false,"",0,farming_village,2,2,10000.0,land
soltobe,chu_province,CHG,rural_settlement,livestock,36200.0,1667.0,false,"",0,farming_village,0,5,0.0,workers
almaty,almaty_province,CHG,town,wheat,64000.0,42851.0,false,"",0,farming_village,3,3,15000.0,land
beilngries,franconian_alb_province,EIC,rural_settlement,wool,120750.0,7861.0,false,"",0,sheep_farms,4,55,8000.0,workers
broach,lata,DLH,city,cotton,125320.0,83990.0,false,"",0,"",0,0,0.0,""
roman,bacau_province,IAS,rural_settlement,legumes,55810.0,10254.0,false,"",0,farming_village,6,8,30000.0,cap
kaifeng,kaifeng_province,CHI,city,saltpeter,196320.0,129032.99999999999,false,saltpeter_beds,1,farming_village,6,12,30000.0,cap
el_obeid,kordofan_province,DAJ,rural_settlement,horses,46210.0,47586.0,true,"",0,"",0,0,0.0,""
naffis,marrakesh_province,MOR,rural_settlement,copper,30400.0,16500.0,false,copper_mine,1,"",0,0,0.0,""
deh_kundi,bost_province,BSD,rural_settlement,copper,30800.0,9048.0,false,copper_mine,1,"",0,0,0.0,""
jagatipur,bheri_province,KHS,rural_settlement,wool,44300.0,29613.000000000004,false,"",0,sheep_farms,6,6,12000.0,land
bursa,hudavendigar_province,TUR,city,silk,133830.0,56400.0,false,"",0,"",0,0,0.0,""
anundsjo,angermanland_province,SWE,rural_settlement,lumber,12200.0,802.0,false,lumber_mill,0,"",0,0,0.0,""
nadzcaan,tabacoh_province,ITZ,rural_settlement,lumber,41410.0,14528.0,false,lumber_mill,2,"",0,0,0.0,""
songyang,chuzhou_zhejiang_province,CHI,rural_settlement,iron,56810.0,54470.0,false,iron_mine,2,"",0,0,0.0,""
muang_nakhon,muang_nakhon_province,VTN,rural_settlement,lumber,48800.0,12146.0,false,lumber_mill,2,"",0,0,0.0,""
lishan_pingle,pingle_province,CHI,town,livestock,56900.0,33056.0,false,"",0,farming_village,0,3,0.0,workers
saeki,aki_province,JAP,rural_settlement,livestock,51300.0,25906.0,false,"",0,farming_village,4,4,20000.0,land
chengcheng,tongzhou_shaanxi_province,CHI,rural_settlement,livestock,93000.0,33326.0,false,"",0,farming_village,6,10,30000.0,cap
pengshan,meizhou_province,CHI,rural_settlement,wheat,110390.0,8751.999999999998,false,"",0,farming_village,5,19,25000.0,workers
leksand,dalarna_province,SWE,rural_settlement,lumber,19400.0,4913.0,false,lumber_mill,2,"",0,0,0.0,""
gapsan,gapsan_province,KOR,rural_settlement,rice,36600.0,21940.0,false,"",0,farming_village,1,1,5000.0,land
charaideo,ahom_province,AHO,rural_settlement,beeswax,78750.0,44424.0,false,"",0,farming_village,5,5,25000.0,land
yijin,bazhou_province,CHI,rural_settlement,wheat,116730.0,18142.000000000004,false,"",0,farming_village,6,18,30000.0,cap
siatista,upper_macedonia_province,BYZ,rural_settlement,beeswax,69210.0,7960.0,false,"",0,farming_village,4,11,20000.0,workers
faramana,mouhoun_province,OUA,rural_settlement,fiber_crops,48700.0,16175.0,false,"",0,"",0,0,0.0,""
segeberg,holstein_province,HTR,rural_settlement,horses,89510.0,20863.000000000004,false,"",0,"",0,0,0.0,""
yongfeng_xiangxiang,xiangxiang_province,CHI,rural_settlement,livestock,98360.0,28280.0,false,"",0,farming_village,6,13,30000.0,cap
una_una,banggai_province,LUW,rural_settlement,fish,45700.0,356.0,false,fishing_village,0,"",0,0,0.0,""
yinxian,ningbo_province,CHI,town,livestock,333690.0,246144.99999999997,false,"",0,farming_village,6,16,30000.0,cap
mantova,mantua_province,MAN,city,wheat,216670.0,76678.00000000001,false,"",0,farming_village,6,26,30000.0,cap
zvenihorod_siverskyi,karachev_province,KCH,rural_settlement,wheat,76220.0,13211.0,false,"",0,farming_village,6,11,30000.0,cap
adyukh,labinsk_province,GLH,rural_settlement,stone,38800.0,3874.9999999999995,false,stone_quarry,0,"",0,0,0.0,""
aracena,huelva_province,CAS,rural_settlement,lumber,67110.0,17445.0,false,lumber_mill,2,"",0,0,0.0,""
tikenliq,taklamakan_province,QCH,rural_settlement,sand,24000.0,766.0,false,sand_pit,0,"",0,0,0.0,""
svoge,sredets_province,BUL,rural_settlement,fur,57610.0,14231.0,false,forest_village,2,"",0,0,0.0,""
qichun,huangzhou_province,CHI,rural_settlement,rice,182290.0,109540.0,false,"",0,farming_village,6,13,30000.0,cap
downpatrick,down_province,ULS,rural_settlement,fish,130460.0,15108.0,false,fishing_village,3,farming_village,1,22,5000.0,workers
foum_zguid,guzzula_province,TFL,rural_settlement,horses,20600.0,7496.0,false,"",0,"",0,0,0.0,""
tingvalla,varmland_province,SWE,rural_settlement,wild_game,71620.0,2960.0,false,forest_village,1,"",0,0,0.0,""
yapavu,pihiti,DBD,rural_settlement,rice,101990.0,19151.0,false,"",0,farming_village,6,15,30000.0,cap
tok,upper_zeya_province,CHI,rural_settlement,fur,11400.0,2294.0,false,forest_village,0,"",0,0,0.0,""
baja_hungary,bacs_province,HUN,rural_settlement,fiber_crops,106930.0,32784.0,false,"",0,"",0,0,0.0,""
balasagun,chu_province,CHG,town,wild_game,55600.0,12243.0,false,forest_village,2,"",0,0,0.0,""
yingcheng,dean_province,CHI,rural_settlement,rice,205130.0,9494.0,false,"",0,farming_village,5,38,25000.0,workers
shuangyashan,sanjiang_province,NRO,rural_settlement,legumes,51500.0,6838.999999999999,false,"",0,farming_village,0,7,0.0,workers
khobootsar,erenkhot_province,CHI,rural_settlement,wild_game,23300.0,20985.0,false,forest_village,2,"",0,0,0.0,""
meybod,yazd_province,MZF,rural_settlement,wild_game,24100.0,1912.9999999999998,false,forest_village,1,"",0,0,0.0,""
granada,granada_province,GRA,city,clay,152880.0,151716.99999999997,false,clay_pit,2,"",0,0,0.0,""
assisi,spoleto_province,PAP,town,fruit,120330.0,28894.000000000004,false,"",0,fruit_orchard,6,17,30000.0,cap
lhodrak,lhokha_province,TIB,rural_settlement,livestock,17800.0,3985.0,false,"",0,farming_village,1,1,5000.0,land
kut_ling,muang_nakhon_province,VTN,rural_settlement,lumber,47700.0,24333.000000000004,false,lumber_mill,2,"",0,0,0.0,""
javad,baku_province,SRV,rural_settlement,livestock,63010.0,15833.0,false,"",0,farming_village,6,8,30000.0,cap
bozhou,bozhou_province,BZU,town,lumber,89900.0,23349.999999999996,false,lumber_mill,1,"",0,0,0.0,""
techiman,bono_province,BON,rural_settlement,legumes,31200.0,17234.0,false,"",0,farming_village,1,1,5000.0,land
heyang_xian,tongzhou_shaanxi_province,CHI,rural_settlement,rice,127310.0,44806.99999999999,false,"",0,farming_village,6,15,30000.0,cap
peam,peam_province,KHM,rural_settlement,lumber,120760.0,120158.0,false,lumber_mill,2,"",0,0,0.0,""
qingjiang_liping,liping_province,CHI,rural_settlement,lumber,53310.0,9004.999999999998,false,lumber_mill,0,"",0,0,0.0,""
metz,pays_messin_province,MTZ,city,millet,180860.0,54813.0,false,"",0,farming_village,6,24,30000.0,cap
kahari,tumen_province,AAR,rural_settlement,lumber,33800.0,7598.0,false,lumber_mill,0,"",0,0,0.0,""
gaoyuan,xinghe_province,CHI,rural_settlement,millet,66100.0,12654.0,false,"",0,farming_village,6,9,30000.0,cap
fuman,gilan_province,FMN,rural_settlement,wheat,83120.0,31433.0,false,"",0,farming_village,6,9,30000.0,cap
papyeong,kaesong_province,KOR,rural_settlement,legumes,131200.0,15015.0,false,"",0,farming_village,6,22,30000.0,cap
kume,mimasaka_province,JAP,rural_settlement,legumes,76940.0,15152.0,false,"",0,farming_village,6,11,30000.0,cap
buluranriding,lower_musi_province,PLB,rural_settlement,fish,55040.0,2987.0,false,fishing_village,1,"",0,0,0.0,""
fengjie,kuizhou_province,CHI,rural_settlement,fruit,48900.0,3999.0,false,"",0,fruit_orchard,2,7,10000.0,workers
huicheon,ganggye_province,KOR,rural_settlement,stone,44500.0,21062.0,false,stone_quarry,1,"",0,0,0.0,""
telmen,khyargas_province,CRS,rural_settlement,wool,8600.0,7524.0,false,"",0,sheep_farms,0,0,0.0,land
ghat,fezzan_province,FZA,rural_settlement,livestock,16800.0,1438.0,false,"",0,farming_village,0,2,0.0,workers
zhaoxin,chuzhou_province,CHI,town,wheat,190280.0,48620.99999999999,false,"",0,farming_village,6,27,30000.0,cap
suluntah,jebel_akhdar_province,BQA,rural_settlement,wool,20600.0,6223.999999999999,false,"",0,sheep_farms,3,6,6000.0,workers
ed_damer,lower_butana_province,ABW,rural_settlement,millet,29910.0,29499.999999999996,false,"",0,farming_village,0,0,0.0,land
karakecili,ankara_province,AHI,rural_settlement,iron,60710.0,17829.0,false,iron_mine,2,"",0,0,0.0,""
ramsele,angermanland_province,SWE,rural_settlement,wild_game,9400.0,802.0,false,forest_village,0,"",0,0,0.0,""
szadek,sieradz_province,SDZ,rural_settlement,millet,92930.0,13762.0,false,"",0,farming_village,6,14,30000.0,cap
mesyagutovo,krasnaya_gorka_province,GLH,rural_settlement,wild_game,27800.0,2668.0,false,forest_village,0,"",0,0,0.0,""
kaizhou,kuizhou_province,CHI,rural_settlement,wild_game,45900.0,5242.999999999999,false,forest_village,2,"",0,0,0.0,""
dadri,bhattiana_province,DLH,rural_settlement,tin,111070.0,143349.0,true,tin_streamworks,1,"",0,0,0.0,""
velizh,vitebsk_province,VBK,rural_settlement,millet,72620.0,2500.0,false,"",0,farming_village,1,13,5000.0,workers
midyat,nusaybin_province,ATQ,rural_settlement,lumber,87220.0,12619.0,false,lumber_mill,2,"",0,0,0.0,""
leiden,south_holland_province,HOL,rural_settlement,fish,55500.0,19584.0,false,fishing_village,3,"",0,0,0.0,""
onenioteke,onyotaaka_province,ONY,rural_settlement,wild_game,31100.0,2832.0,false,forest_village,0,"",0,0,0.0,""
bienne,neuchatel_province,BAS,rural_settlement,wild_game,71910.0,21784.0,false,forest_village,2,"",0,0,0.0,""
immenstadt,allgau_province,MBZ,rural_settlement,wild_game,87020.0,10900.0,false,forest_village,2,"",0,0,0.0,""
kuchugur,berda_province,GLH,rural_settlement,millet,32700.0,3038.0000000000005,false,"",0,farming_village,0,4,0.0,workers
dzhulat,alania_province,GLH,rural_settlement,lumber,50800.0,5587.0,false,lumber_mill,0,"",0,0,0.0,""
musan,gapsan_province,HIY,rural_settlement,iron,35900.0,14186.0,false,iron_mine,2,"",0,0,0.0,""
tus,mashhad_province,JKR,rural_settlement,cotton,21500.0,10091.999999999998,false,"",0,"",0,0,0.0,""
rohatyn,halych_province,HAL,rural_settlement,lumber,82420.0,13610.000000000002,false,lumber_mill,2,"",0,0,0.0,""
bayan_har,golog_province,GOL,rural_settlement,horses,9000.0,702.0,false,"",0,"",0,0,0.0,""
dalay,sharangad_province,CHI,rural_settlement,copper,5500.0,2497.0,false,copper_mine,0,"",0,0,0.0,""
garacad,ajan_province,IFA,rural_settlement,fish,16300.0,4295.999999999999,false,fishing_village,2,"",0,0,0.0,""
an_nuhaytiyyah,al_hisu_province,MUT,rural_settlement,livestock,12700.0,1720.0,false,"",0,farming_village,0,1,0.0,workers
tolekskoe,kuragharty_province,CHG,rural_settlement,livestock,26700.0,750.0,false,"",0,farming_village,0,4,0.0,workers
el_dhere,haud_province,AJU,rural_settlement,wild_game,19400.0,12795.0,false,forest_village,2,"",0,0,0.0,""
aka,bicchuu_province,JAP,rural_settlement,iron,47000.0,41977.0,false,iron_mine,2,"",0,0,0.0,""
derby,derbyshire_province,ENG,rural_settlement,wheat,202390.0,21780.0,false,"",0,farming_village,6,35,30000.0,cap
akita,ugo_province,JAP,town,silver,87910.0,27234.0,false,silver_mine,1,"",0,0,0.0,""
skardu,balti_province,MAR,rural_settlement,wheat,29200.0,13328.0,false,"",0,farming_village,2,2,10000.0,land
windenburg,lithuania_minor_province,TEU,rural_settlement,wild_game,86430.0,7574.0,false,forest_village,1,"",0,0,0.0,""
yot_ou,cheli_province,CHH,rural_settlement,fruit,42000.0,2437.0000000000005,false,"",0,fruit_orchard,0,6,0.0,workers
lingtai,jingzhou_shaanxi_province,CHI,rural_settlement,legumes,63300.0,27187.0,false,"",0,farming_village,6,6,30000.0,land
villingen,schwarzwald_province,HAB,rural_settlement,wool,101640.0,13255.999999999998,false,"",0,sheep_farms,6,43,12000.0,cap
tubingen,neckar_province,TUB,rural_settlement,wheat,119640.0,29629.0,false,"",0,farming_village,6,17,30000.0,cap
slany,prague_province,BOH,rural_settlement,livestock,175070.0,53568.0,false,"",0,farming_village,6,23,30000.0,cap
urka,amur_province,CHI,rural_settlement,wild_game,19200.0,1671.0,false,forest_village,0,"",0,0,0.0,""
mardankuyik,otrar_province,CHG,rural_settlement,legumes,51400.0,9893.0,false,"",0,farming_village,5,7,25000.0,workers
altayskoye,altayskoye_province,OGE,rural_settlement,fur,7300.0,1262.0,false,forest_village,0,"",0,0,0.0,""
kyrylivka,berda_province,GLH,rural_settlement,fish,28500.0,3324.9999999999995,false,fishing_village,0,"",0,0,0.0,""
haylan,ciid_province,WAR,rural_settlement,fruit,11000.0,7234.0,false,"",0,fruit_orchard,0,0,0.0,land
logar,kabul_province,QUN,rural_settlement,iron,46470.0,44113.0,false,iron_mine,2,"",0,0,0.0,""
minochi,shinano_province,JAP,rural_settlement,rice,49400.0,24117.0,false,"",0,farming_village,4,4,20000.0,land
goeju,chungju_province,KOR,rural_settlement,lumber,46300.0,3199.0,false,lumber_mill,1,"",0,0,0.0,""
barcelonnette,dignois_province,PRO,rural_settlement,livestock,61400.0,5566.000000000001,false,"",0,farming_village,3,10,15000.0,workers
idy_sakhalin,northern_sakhalin_province,CHI,rural_settlement,lumber,9300.0,1394.0,false,lumber_mill,0,"",0,0,0.0,""
daulatabad,upper_marathwada,DLH,rural_settlement,cotton,116330.0,157127.0,true,"",0,"",0,0,0.0,""
loc_chau,lang_son_province,DAI,rural_settlement,legumes,46300.0,20804.000000000004,false,"",0,farming_village,0,4,0.0,workers
siauliai,siauliai_province,LIT,rural_settlement,wheat,47400.0,7422.0,false,"",0,farming_village,4,6,20000.0,workers
yibin,xuzhou_sichuan_province,CHI,rural_settlement,tea,138300.0,43720.0,false,"",0,"",0,0,0.0,""
baramulla,kashmir_province,KSH,rural_settlement,silk,113320.0,17430.0,false,"",0,"",0,0,0.0,""
miatbir,dukkala_province,MOR,rural_settlement,wool,51000.0,13470.0,false,"",0,sheep_farms,6,18,12000.0,cap
longping_pingle,pingle_province,CHI,rural_settlement,tea,47000.0,3571.0,false,"",0,"",0,0,0.0,""
hjorring,vendsyssel_thy_province,DAN,rural_settlement,sand,89930.0,12309.0,false,sand_pit,1,"",0,0,0.0,""
malchow,seenplatte_province,GSW,rural_settlement,fish,159860.0,14857.0,false,fishing_village,3,farming_village,5,28,25000.0,workers
tulcea,north_dobruja_province,BUL,rural_settlement,fish,40200.0,7640.000000000001,false,fishing_village,3,"",0,0,0.0,""
shenga_kurya,ustye_province,NOV,rural_settlement,fiber_crops,12900.0,1333.0,false,"",0,"",0,0,0.0,""
anping,shenzhou_province,CHI,rural_settlement,wheat,122930.0,46602.0,false,"",0,farming_village,6,14,30000.0,cap
kolar,bangalore_province,HSL,rural_settlement,goods_gold,102810.0,50046.0,false,gold_diggings,1,"",0,0,0.0,""
xuancheng,ningguo_province,CHI,rural_settlement,cotton,178680.0,146209.99999999997,false,"",0,"",0,0,0.0,""
bhanpura,western_malwa,DLH,rural_settlement,iron,93930.0,45281.00000000001,false,iron_mine,0,"",0,0,0.0,""
saw,kale_province,PIN,rural_settlement,mercury,73040.0,21810.000000000004,false,cinnabar_pit,1,"",0,0,0.0,""
chernihiv,chernihiv_province,CHR,town,wheat,81910.0,23369.999999999996,false,"",0,farming_village,6,10,30000.0,cap
remscheid,bergisches_land_province,BRG,rural_settlement,lumber,126650.0,14755.999999999998,false,lumber_mill,2,"",0,0,0.0,""
al_aflaj,laila_province,DWS,rural_settlement,livestock,17000.0,10388.0,false,"",0,farming_village,0,0,0.0,land
tamiang,northern_aceh_province,PSA,rural_settlement,clay,63440.0,4269.0,false,clay_pit,0,"",0,0,0.0,""
ngimbo_amburi,kinhasa_province,MOM,rural_settlement,lumber,40400.0,38961.99999999999,false,lumber_mill,2,"",0,0,0.0,""
calamarca,tiwanaku_province,PCJ,rural_settlement,wool,21000.0,11301.0,false,"",0,sheep_farms,3,4,6000.0,workers
agham_kot,tharparkar_province,SND,rural_settlement,cotton,76310.0,72172.0,false,"",0,"",0,0,0.0,""
matam,galam_province,TKR,rural_settlement,rice,10600.0,4586.0,false,"",0,farming_village,0,0,0.0,land
jeongseon,wonju_province,KOR,rural_settlement,silver,50300.0,4729.999999999999,false,silver_mine,1,"",0,0,0.0,""
