location_tag,population_capacity
chios,42
chipagwe,72
chipangura,189
chipata,230
chiping,246
chipion,337
chipisipi,11
chipoudy,17
chippenham,467
chiprac,199
chipukuswi,105
chiquia,32
chiquimula,540
chira,365
chiramba,201
chiras,30
chiripa,236
chiriqui,110
chirki,11
chiroqchi,92
chirovoye,11
chirowe,261
chiru,48
chiryapchi,11
chisasibi,20
chishamnee,313
chishmy,72
chishti_sarif,24
chishtian,312
chisinau,102
chisobibra,364
chisos,254
chistamikap,51
chisvingo,114
chiswell,39
chit,230
chitagaes,83
chitambo,322
chitanda,189
chitapur,551
chitek,207
chitimbe,125
chitina,32
chitkan,78
chitolah,239
chitomborwizi,149
chitope,86
chitose,44
chitradurga,476
chitrakuta,1713
chitral,69
chittagong,1112
chittaloosa,128
chittoor,919
chittor,920
chiusi,82
chiveve,196
chivilco,239
chivitkino,11
chiyone,11
chlaande,495
chlef,133
choapan,111
choate,92
choccalpata,83
chochama,80
chochenyo,114
choco,94
choconta,230
choctawhatchee,87
chodrak,11
chodrak_kham,158
chodziez,46
choele_choel,591
chogyal_khar,32
choigan,28
choiseul,150
chojna,103
chol,297
cholle_cholle,535
cholohollay,218
cholok_kaiyn,113
cholollan,557
choluteca,254
chom_khao_maneerat,116
choma,128
chomuruvuti,98
chon_naryn,11
chona_trail,11
chondon,11
chongan,218
chongde,166
chongming,416
chongoene,173
chongren,154
chongshan,138
chongxin,68
chongyang,342
chongyi,248
chono,353
chootawatchee,113
chopim,289
choquerecuay,105
chor,161
chornobyl,56
chornukhy,67
chorten_nyima,11
chortolisy,39
chortoryisk,43
chorumani,205
chosan,157
choszczno,56
chowanoke,76
choyrin_datsan,278
chrudim,228
chrzanow,290
chuainisin,11
chuanzhou,181
chuapa,264
chuathbaluk,72
chucalissa,123
chuchures,92
chucuito,134
chucutitlan,934
chudniv,42
chudovo,67
chuhuiv,59
chukhloma,54
chullac,119
chuluutyn,82
chumbivilcas,182
chumdo,19
chumikan,11
chumnungwa,73
chumphon,115
chumuch,136
chunan,724
chunar,2224
chundzha,155
chungju,99
chungu,153
chunhua,150
chunju,51
chunoyar,166
chunsua,178
chupanga,117
chupilta,219
chuqiu,326
chuqiyapu,45
chuqlluqucha,122
chur,40
churajon,80
churapcha,11
churkampa,31
churu,189
churumekua,411
chuuk,11
chuva,435
chuvan1,11
chuvan2,11
chuvan3,11
chuwalee,71
chuwi,153
chuy,149
chuya,29
chuzboy,52
chyhyryn,47
chyliga,11
chymnaii,11
chyormoz,91
chyorny_yar,91
ciaike,242
cianjur,409
cibadak,558
cibagalaax,11
cibal,101
cibao,37
cibuaya,249
ciechanow,174
cieza,198
ciguayo,35
cihuatlan,188
cikakw_sipi,62
cili,428
cimanuk,467
cincu,63
cine,160
circle,12
cirebon,487
cirencester,207
cittacastello,144
cittaducale,138
ciudad_real,121
ciudad_rodrigo,114
ciudadela_de_menorca,60
cividale,72
civitavecchia,367
ciwat,169
cixi,136
cizre,222
ckara_ama,62
clackmannan,105
clermont,244
clermont_en_argonne,113
clermont_en_beauvaisis,172
cles,107
clifden,84
clogher,92
clonmel,90
cloppenburg,81
cluj,106
clusone,228
co_dang,102
coacoachou,60
coahuayana,632
coaticook,23
coatlan,271
coatlicamac,229
coatzacoalco,287
coba,76
cobequid,56
cobeta,77
cobija,11
coblenz,126
coburg,169
cocalico,43
cocamas,155
cocanarup,288
cochem,108
cochimi,66
cochinoca,222
cochoqua,58
cockermouth,122
coco,190
cocollan,296
cocomacan,569
cocorna,221
cocoyome,153
coctu,121
coevorden,35
cofaqui,90
cofitachequi,94
cognac,295
cognashene,39
cohansey,44
cohari,114
coimbatore,1428
coimbra,209
coinan,1232
coiracoentanon,240
coixtlahuacan,215
cojutepeque,39
cokuurdaax,11
colchester,130
coleraine,93
colha,39
colhue_huapi,89
coligua,143
coliman,293
colipilli,273
collique,156
collo,69
colmar,258
colmenar,204
cologne,275
colombayma,457
colquechaca,140
colville,11
comacchio,109
comana,157
comana_cil,40
comayagua,230
combahee,65
comcaac,167
comitlan,200
como,350
comogre,114
conceicao,122
condom,130
condorcet,170
conecuh,153
conegliano,173
conemaugh,91
coneto,165
conewago,40
congaree,101
conghua,381
congona,22
conkouati,113
connatachequa,63
conococheague,71
conotton,144
consha,124
constanta,34
constantia_bul,169
constantina,271
constantine_ALG,315
constantinople,602
consuegra,112
contornasa,75
conwy,78
coonawarra,116
coos,50
coosa,56
coosaw,88
coospacam,349
cootamundra,326
cootcla,148
copa,70
copane,137
copuz,796
corabia,106
corani,72
corbeil,355
corbie,310
cordoba,189
coree,39
coremas,749
corfu,72
coria,64
coria_del_rio,110
corinth,63
cork,71
corleone,206
corlu,170
corneto,96
coro,288
corodehuachi,117
coropo,239
corpen_aike,293
corte,106
cortenuova,402
cortona,66
corum,148
corumba,526
coruna,240
corycus,43
cosamaloapan,218
cosenza,250
cosihuiriachi,283
cosrou,314
costa,65
coste,75
cotapampa,93
cotnari,87
cotrone,155
cottbus,57
cotui,64
coucy,131
coutances,350
coutins,395
covasna,28
coventry,126
covilha,100
cowal,29
cowasuck,26
coweta,76
coyaima,155
coyame,305
coyle,177
cozha,11
cozia,54
crailsheim,157
craiova,48
crasna,73
crato,47
cremona,215
crepy,202
crescent_spur,91
crikvenica,106
cristuru_secuiesc,34
crixas,374
croatan,47
crook,205
cruz_alta,466
csanad,117
csantangelo,140
csurgo,77
cuama,166
cuanales,457
cuangar,161
cuango,136
cuareim,204
cuauhcapolca,61
cuauhchinanco,326
cuauhcuetzpaltepec,146
cuauhnahuac,866
cuauhtemallan,810
cuauhteopan,236
cuauhtitlan,696
cuauhtochco,333
cuauhtolco,261
cuautla,249
cubanacan,75
cubao,31
cubara,93
cubiga,59
cubuk,60
cuchi,148
cucurpe,139
cudalbi,84
cuddapah,513
cueiba,80
cuellar,136
cuenca,81
cuencame,405
cuetlaxtlan,116
cuhea,65
cui_yui_ticutta,130
cuicatlan,131
cuijk,260
cuilo,107
cuima,238
cuito,72
cuitzeo,282
cukataw,89
culhuacan,315
culiacan,494
cullahill,97
cumana,80
cumanacoa,137
cumanagoto,157
cumaribo,521
cumbum,418
cumra,57
cumumba,169
cundi,74
cuneo,140
cunhambebe,32
cuoim,303
cupar,56
cupilco,350
cura,193
curacaute,12
curahuara,73
curiche,49
curitiba,88
curitibanos,217
curruhuinca,110
currumil,135
curu_leufvu,653
curuai,207
curuguaty,380
curumanao,125
curumu,73
cururu,211
curvelo,163
cushamen,119
cussate,125
cuthuhogwa,175
cuttaway,173
cuttawba,161
cutzalan,219
cutzamala,219
cuvenai,236
cuxtaque,533
cuyahoga,103
cuyo,432
cuyuxquihui,112
cuzalapa,280
czaplinek,25
czarnkow,54
czchow,159
czersk,194
czestochowa,361
czlopa,92
czluchow,101
da_giang,95
daan,185
daasanach,143
daba_akanda,231
dabaca,65
daban,11
dabarqi,216
dabhol,900
dabiq,224
daboka,399
daboya,175
dabuchyn,40
dacheng,104
dacice,132
dadandang,49
dadi_dadi,198
dadri,837
dadu,348
daet,64
dafang,89
daga,43
daga_papua,47
dagana,16
dagandely,122
dagett,105
dagon,211
dagu,192
dagu_shunyuan,217
daguan,56
daguda,119
daguwanalahi,128
dagze,23
daha,665
dahlak,11
dahra_sasykkol,317
dahrur,1688
dai_man,52
daik,53
daima,189
daingean,47
dainggatti,158
daizhou,87
dajal,241
dak_lak,153
dakadjalan,152
dakahla,258
dakawa,466
dakhkat,254
dakhla,14
dakkar,328
dakky,11
daklha_gampo,21
dala,234
dalaborg,61
dalai_nuur,336
dalaiketun,384
dalay,324
dalgan,13
dalinghe,891
dalingkot,931
dallol,54
dalneye_konstantinovo,50
dalniye_zelentsy,54
daloa,259
damala,14
daman,346
damanhur,4
damaqua,200
damar,13
damara,352
damascus,492
damasonqua,182
damaturu,181
damavand,356
damba,101
dambai,177
dambi_angonga,92
dambwe,285
damghan,57
damietta,6
damoh,763
damrey_trom,255
damzhung,11
dan_sai,124
dancheng,226
dancheon,153
dandong,373
danduka,306
dandybay,324
dang,1239
dangbon,158
dangcheng,103
danggali,313
dangila,112
dangshan,186
dangtu,291
dangyang,360
danilov,37
danilovka,85
daning,105
daning_kuizhou,261
daning_pingquan,103
daniski,283
danleng,112
danli,244
dannenberg,138
dantewada,359
dantu,609
danubyu,237
danyang,461
danyang_korea,66
daoba,202
daolong,99
daoukro,244
dapiguemlec,593
dapitan,57
daquq,69
dar_es_salaam,893
dara,150
darab,39
daraban,95
daratan,59
darbhanga,2659
dardeling,106
darende,160
darganata,5
dargaz,83
darghat,11
dargol,53
dargyeling,11
darkylakh,11
darlag,23
darlington,149
darmstadt,172
darney,181
daroca,143
daroot_korgon,79
darrehshahr,52
dartang,38
dartsedo,340
darumbal,217
darwar,630
darz,46
darzanji,98
dashahai,16
dashev,75
dasmenda,102
dasong,292
dassa_zoume,905
dastgerdan,11
dasu,55
date_loc,79
datia,614
datian,284
datian_shizhou,462
datong_datong,319
datong_xining,114
datooga,584
datta,47
daugavpils,52
daulatabad,1339
daule,100
daun,128
daura,207
dausa,583
daventry,220
davlekanovo,119
davos,29
davyd_haradok,43
daw_sud,1
dawande,347
dawbah,21
dawhee,104
dawlat_abad,148
dawu,134
dax,195
daxing,193
daxue,327
daxunhyuu,142
daya,42
daya_kathyn,2
dayao,110
dayaoshan,171
daye,296
dayi,120
dayong,449
dayr_aqul,92
dayu,246
dazhasi,162
dazhu,327
dazu,280
deadose,166
dean,119
deatnu,11
debagarh,587
debar,88
debarq,254
debarwa,44
debdou,76
debica,132
debila,10
debin,11
debra_berhan,87
debra_warq,116
debrc,86
debre_bizen,29
debre_libanos,136
debre_tabor,120
debrecen,189
debyosy,81
dechang,321
decin,357
ded_khulsun,146
dedesi,296
deer_lodge,173
degehabur,263
deh_kord,23
deh_kundi,112
dehagh,33
dehaj,14
dehdasht,70
dehdez,64
dehgolan,71
dehistan,154
dehloran,58
dehram,70
dehshir,31
dehskan_ziibi,58
dehtal,66
dehua,203
dehua_jiujiang,125
deir_ez_zor,57
deir_qamar,642
dej,65
dejiang,233
dekemhare,23
del_khad,14
delaram,49
delemont,228
delger_moron,29
delhi,1192
deli,99
delijan,99
deliktash,85
delinde,11
deline,11
delitzsch,102
delmenhorst,136
deloraine,157
deloy_chet,41
deloy_ges,25
deltana,22
delyankir,11
demak,472
demba,109
dembimbosaage,84
demensk,36
demerara,237
demetrias,45
demidov,39
demirci,199
demmin,75
demnate,135
demon,33
demotica,131
demyanovo,57
den_terek,224
denali,11
denbigh,86
dengfeng,430
denia,255
denkanikottai,890
denov,117
densatil,11
deo,2802
deodar,762
deogarh,793
deoghar,1156
deokju,139
deori,180
deou,131
deoule,92
dep,91
deping,116
deqing,172
dera_bugti,13
dera_ghazi_khan,520
dera_ismail_khan,392
deraheib,67
derawar,312
derbeke,11
derbent,26
derby,285
deren,19
dererri,37
dergachi,112
dergaon,465
derge,173
derna,69
derry,98
des_nedhe,11
deskenetlata,145
desnyanskyi_horodok,127
deti,428
detmold,481
deungju,115
deva,107
devadurga,683
devakottai,1019
devanagara,361
devanahalli,585
devarakonda,782
develi,99
deventer,90
devgarh,957
devkot,1061
devol,93
devprayag,691
devrekani,128
dexing,195
deyang,204
deychopan,100
deyhuk,21
dezadeash_trail,11
dezful,135
dgheyaytnu,11
dha_sohis,9
dhadar,120
dhading,533
dhafar,328
dhahran,30
dhalam,93
dhamar,342
dhamtari,197
dhansiri,145
dhar,942
dharampur,479
dharangaon,766
dharapuram,1345
dharmapuri,1319
dharmasraya,111
dharmavaram,863
dharug,149
dhat_al_hajj,46
dhat_irq,74
dhenkanal,573
dhi_ain,149
dhipaesyin,76
dhlo_dhlo,277
dholka,868
dholpur,907
dhone,738
dhrangadhra,1171
dhubri,508
dhufar,13
dhurma,78
di_dinh,81
dia,73
diaboudior,66
diakha,291
diakhao,97
diamou,183
dianbai,407
diangounte_camara,154
dianjiang,322
diaomen,437
diara,99
diawara,173
dibabawon,72
dibang,37
dibrugarh,406
dibue,134
didao,237
didthul,159
die,102
diebougou,221
dien_ban,151
dien_chau,58
dieng,468
diepholz,48
dieribakoro,165
diez,120
difunda,193
digavapi,194
digenegh,56
digne,67
dijkot,396
dijon,165
dikhu,124
dikimdya,11
dikwa,245
dillenburg,170
dilling,730
dillingen,74
dilzhee,113
dima,181
dimapur,317
dimishk,136
dina,225
dinant,206
dinar,129
dindigul,961
dinek_keskin,132
dinetah,215
dingan,313
dingbian,339
dingbian_shunning,106
dingcheng,216
dinghai,249
dinghu,188
dingi,210
dingle,30
dingliao,415
dingnan,220
dingnan_anshun,114
dingqiang,268
dingri,11
dingrong,152
dingtao,226
dingwall,140
dingxi,234
dingxiang,88
dingxing,233
dingyuan,228
dingyuan_chuxiong,56
dingyuan_fengyang,534
dingyuan_lingzhou,197
dinkelsbuhl,110
dinkot,354
dioila,216
dioumara,193
diourbel,113
dipalpur,405
dipayal,196
diphu,441
dippa,11
dir,53
dire_dawa,250
diria,174
diriyah,119
dirkou,11
disentis,35
dishmok,39
dithakong,436
dithakwaneng,388
ditidaht,36
diu,328
divandarreh,97
divrigi,106
diyarbekir,159
dizhai,138
dja_dja_wurrung,232
djabuganjdji,206
djabwurung,123
djado,11
djalendi,11
djanet,11
djappuminyou,213
djedaa,447
djee,53
djelfa,140
djemah,1420
djenne,246
djeoromitxi,216
djibo,164
djilor,43
djiralay,156
djirbalgan,150
djonga,473
djougou,745
djundu,242
dluk,201
dmanisi,157
dmitriyev,55
dmitrov,91
doba,413
dobele,61
doberan,52
dobkuri,273
doboj,100
dobrolak,114
dobrush,45
dobryanka,182
dobrzyn,72
dobyaz,61
doeg,86
doetinchem,257
dogai,11
dogo,75
dogonbadan,72
doh_kromum,155
dokshytsy,38
dol,146
dolakha,316
dolchinyo,39
dole,205
dolkabaya,226
dolo,660
doloodyn_gobi,361
dolpo,13
dolyna,31
domakha,122
domanic,139
domazlice,163
domboshaba,133
domfront,142
domodossola,99
dompu,147
doncaster,192
dondo,95
dondykar,107
donegal,75
donets_kharkiv,61
dong_lakhon,472
dong_si_maha_phot,115
dongan,83
dongan_shuntian,181
dongan_yongzhou,379
dongartal,1073
dongchuan,140
donge,333
donggala,45
donggo,419
dongguan,577
dongguang,96
dongju,35
donglan,314
dongliangting,86
dongliu,549
dongming,344
dongnae,639
dongning,151
dongola,14
dongondoutchi,164
dongping,356
dongsheng,35
dongxiang,137
dongxiang_dazhou,579
dongyang,650
donjek,146
donkov,58
donwun,228
donzy,156
doolboong,363
doora,112
dorchester,295
dordrecht,90
dorey,35
dori,116
dormaa,218
dornoch,62
dorogobuzh,43
doroh,39
dorohoi,107
dorsotung,16
dortmund,127
dorud,58
dospat,97
dosso,185
douai,243
doubare,124
douentza,213
doukang,73
dourbali,187
dourtenga,143
doustioni,174
douz,26
dover,155
dovolnoye,323
dowlatabad,61
dowlatabad_esfandaqeh,54
downpatrick,51
dowraq,30
dowzdab,19
doyahinee,42
dragasani,95
draguignan,236
drahichyn,50
drahushiv,99
drama,73
drangtse,54
drastar,93
drawsko,75
drayab,5
drehu,29
dresden,278
dreux,108
drichu,30
drigung,10
drijeva,72
droge,143
drogheda,51
drohiczyn,72
drohobych,50
drokov,44
dromahair,39
drutsk,30
drysvyaty,38
dsun,37
duanshi,146
duanxi,191
duau,23
duba,14
dubai,30
dubawnt,11
dubbi,210
dubica,39
dublin,125
dubna,78
dubno,48
dubok,46
dubovskoye,135
dubrajpur,2043
dubronjo,35
dubrovna,47
dubrovnik,22
dubrovytsia,45
duchang,116
ducheng,314
duderstadt,111
dudhakunda,180
dudinka,11
dufanat,82
duhok,90
duitama,156
dukagjini,44
dukhovnitskoye,59
dukhovshchina,40
duki,53
dukin,31
dulab,117
dulan,38
dulgalaax_trail,11
dulgalakh,11
duling,231
dulis_ma,11
dullu,113
dulmen,230
dumai,69
dumat_al_jandal,38
dumba_katola,123
dumbarton,121
dumbi,128
dumbo,215
dumfries,125
dumka,958
dunamase,79
dunaysir,116
dunbar,83
dundaga,51
dundalk,67
dundee,83
dunfermline,70
dunga_bunga,321
dungannon,89
dungarpur,864
dungarvan,71
dungene,217
dungkar,9
dungkar_amdo,182
dungu,834
dungun,77
dunhallow,84
dunkirk,205
dunla,88
dunluce,54
duns,106
dunstable,118
duolundu,33
duoshui,221
dupnitsa,75
dura,343
durango,231
durbe,51
duren,290
durg,281
durgarazpatnam,106
durgyeling,297
durham,208
durjaya,506
durlach,163
durness,26
durres,144
dursunbey,189
durun,154
dushan,176
dusheti,32
dushikou,144
dusmareb,82
dusseldorf,285
dutse,399
dutsi,137
duwamish,105
duyang,279
duyun,233
dvarasamudra,595
dve_viski,11
dwarahat,699
dwarawala,180
dwarka,319
dyagaryn,11
dymer,58
dyrashnichikha,11
dyrnes,11
dyryn_ebe,11
dyunkun,11
dzagyal,140
dzaigil,88
dzamtang,186
dzata,305
dzerzhinskoye,215
dzhuk,61
dzhul,205
dzhulat,73
dzhulsub,61
dzibanche,50
dzibilnocac,129
dzierzgon,79
dzil_nchaa_sian,346
dzil_taadn,164
dzilam,277
dzingcho,246
dzisna,39
dzithinahnde,238
dzogang,35
dzogon,160
dzongkar,10
dzyatlava,45
e_ometaeso,184
e_omita_i,212
eagle,11
eampepaigosode,301
east_aasax,405
east_cubanacan,64
east_falkland,11
east_gogo,363
east_hanos,58
east_hehe,587
east_kimbu,399
east_konongo,474
east_lomwe,402
east_makhuwa,527
east_ngindo,328
east_ongamo,249
east_palawa,49
east_sabaneque,142
east_shangana,488
east_sundarban,438
east_wembere,402
east_yao,411
ebeex,11
ebejico,53
ebelyakh,11
eben_ezer,306
ebersberg,62
ebibeyin,178
ebolowa,140
ebstorf,63
ebya,11
echemmaia,186
echi,188
echimamish,124
echiy,11
ecija,140
eckernforde,108
ed_daein,1038
ed_damer,54
ed_debba,40
edappaly,974
edaula,11
edd,24
ede,425
edea,191
edessa,85
edfu,1
edinburgh,99
edirne,193
ediziza_trail,68
edremit,210
educhanka,165
edzna,62
eexiwa,197
efate,26
egabeni,258
egegik,109
eger,224
eggenfelden,93
eggers_o,11
egil,74
egilsstadir,11
egin,60
egirdir,123
egito,115
eglat_faisal,11
egremont,140
ehdacho,11
ehwae,47
eianamogola,148
eichstatt,75
eid,27
eidfjord,20
eidsvoll,69
eiland,560
eimastukwek,38
einarsfjord,11
einbeck,194
eindhoven,136
eiowane,134
eisenach,160
eisenberg,137
eisiskes,28
eisleben,197
ejea_de_los_caballeros,122
ekab,121
ekenas,52
eket,1092
ekholm,64
ekityki,11
eko,1940
ekonda,11
ekwan,11
ekwentondie,32
el_abiodh_sidi_cheikh,102
el_agheila,11
el_alamein,11
el_arish,31
el_ayum,11
el_bahnasa,1
el_balyana,1
el_bayadh,165
el_burullus,112
el_buur,116
el_buwit,1
el_darad,37
el_dhere,245
el_eleila,263
el_escorial,209
el_fahs,122
el_gadarif,467
el_golea,33
el_guerrara,23
el_hamurre,62
el_jem,143
el_jundi,11
el_kala,158
el_kantara,66
el_kef,120
el_kseur,152
el_ksour,129
el_mahalla,2
el_manaqil,200
el_metemma,30
el_milia,68
el_obeid,693
el_qasr,10
el_qoseir,11
el_sheikh,95
el_tor,11
elassona,75
elbasan,150
elbistan,111
elblag,44
elche,322
elcui,537
eldikan,11
eleuthera,24
elgin,103
elgyai,11
elgygytgyn,11
elhdaqox_t_in,127
elhovo,81
elimaki,43
elista,129
elizondo,177
elk,95
elkhorn,63
elki,316
ellur,678
ellwangen,128
elmali,55
elounda,33
elsfleth,22
elsiktuk,25
elton,138
elvas,59
elverum,61
ely,167
em_dinaneni,254
emasulia,279
emba,155
emden,20
emei,606
emet,205
emin,99
eminabad,446
emirdag,114
emthanjeni,123
emuer,180
emyakhsin,11
ena,72
enare,11
enashimo,11
enawene,200
enchukamao,11
endirey,79
eneabba,91
enenlhet,387
enewetak_atoll,11
enez,48
engeruka,397
enggano,13
enghien,223
enguzud,124
enhe_hada,239
enhua,84
enice,112
enijo,183
enisala,54
enjebara,292
enken,11
enkoping,91
enlhet,293
enmyl_yn,11
ennis,84
enniskillen,55
eno,62
enontakis,9
enoo,11
enookwasaneenah,141
enoree,70
enping,398
enselxcin,117
ensisheim,227
entraigues,155
enugu,586
enxet,317
enzhou,202
eora,90
epe,412
epernay,176
epi,15
epinal,122
epixyu,158
epwikek,85
eqlid,18
er_rich,81
erachimo,11
eramosa,57
erbach,141
erbach_swabia,125
erbil,121
ercis,45
erdao,87
erding,66
eregli,135
eregli_kar,149
erenkhot,637
eretreia,43
erfurt,143
ergani,43
erie,94
erigavo,49
erikub_atoll,11
eringiin,184
ermenek,35
ermioni,55
ernan,24
erode,2390
erongaricuaro,148
eroo,221
erris,98
erromango,23
eruh,146
ervykynnot,11
erzin,270
erzincan,74
erzurum,136
esashi,90
esashi_hokkaido,48
escatawppa,95
eschenbach,107
eschwege,260
escoria,61
escurial,93
eseejja,428
eseka,181
esekatik,59
esfarayen,55
esgueira,202
esk_el,66
eskalapia,124
eskil,106
eskimanetigon,57
eskippakaithiki,168
esna,1
eso,74
espakeh,18
espe,65
espiel,154
espopolames,364
esquatak,49
esquegua,37
ess,34
essen,159
essequibo,162
essipit,44
estatoe,36
este,265
estella,137
esteriktyaax,11
estok_gna,165
estremoz,40
eswawpuddenah,81
esztergom,161
etain,272
etampes,214
etawah,2839
etchemin,47
ethapetha,126
etharita,56
ethekwini,307
etiwan,61
etnemitane,68
etoho,71
etomami,174
etorofu,11
etrek,102
etzanoa,179
etzatlan,297
etzikom,138
eufaula,88
eumseong,117
eura,79
eutin,77
evenksk,11
evian,132
evinayong,102
evora,57
evreux,283
evuevi,181
evur,47
ewina,181
ewksikni,105
ewu,284
ewyas,203
exeter,307
exuma,11
eyapaysis,170
eynegol,205
eyvan,71
eyvanekey,421
ezerenai,49
ezorongondo,11
faaite_atoll,11
fabriano,257
fachi,11
fadak,11
fadisheh,27
faenza,157
fagaras,97
fahambahy,95
fahraj_narmashir,27
fahrej,13
faiyum,1
fakarava_atoll,11
fakenham,102
falaba,236
falaise,242
falam,19
falenki,95
falkoping,74
fallingbostel,56
falster,24
falun,54
famagusta,136
fana,19
fanado,153
fanakat,532
fanchang,106
fancheng,337
fandene,99
fangcheng,379
fangling,203
fangshan,265
fangshan_lishi,98
fanxian,166
fanyang,209
faqus,1
farah,30
farakala,225
faramana,195
faran,11
faras,1
farasan,11
farashband,59
faraveh,192
fardawsa,30
farfan,213
farhadgerd,55
faridkot,844
farim,167
farim_iran,115
fariman,53
farkhor,176
farnebo,225
faro,100
farsala,95
farumad,20
fas_papua,126
fasa,55
fashoda,368
fastiv,54
fatehabad,1054
fatezh,50
fathabad,808
faucigny,117
fayd,27
fayzabad,101
fazughli,713
fecamp,257
fehervar,208
feicheng,550
feihu,249
feira,287
feixian,885
feldbach,95
feldkirch,111
feldkirchen,156
felegyhaza,151
feltre,92
felvint,43
fem_mapu,199
fengcheng,129
fengcheng_fengcheng,216
fengchuan,350
fengdu,643
fengfu,543
fenghua,350
fengjie,646
fengle,178
fengqiu,207
fengrun,372
fengxi,97
fengxian,256
fengxiang,165
fengxin,186
fengzhou,126
fenning,418
fenoarivo,210
fenoarivo_east,122
fenouillet,142
fenxi,184
fenyi,144
fereydunshahr,52
fergana,205
feriana,129
fermo,106
fermoselle,111
fermoy,101
fernando_po,81
ferns,88
ferrara,151
ferrette,443
ferrol,224
feurs,268
fez,300
fiambalao,256
fianarantsoa,258
ficarolo,164
fifinda,166
figeac,316
figueira,206
figuig,54
fimi,192
fin,74
finalborgo,179
fingal,109
finike,101
finisterre,315
fiorenzuola,123
fipa,544
firabr,58
firozkoh,44
firozpur,1148
firuzabad,70
firuzabad_bahraich,1849
firuzkuh,320
firuzkuh_afghanistan,44
fischhausen,28
fish_lake,50
fishguard,73
fisque_menuco,351
flaming_gorge,131
flekkefjord,27
flensburg,118
flesberg,32
flint,78
flix,221
floda,18
florac,147
florence,269
florina,34
foca,131
focsani,64
fofa,72
foggia,177
fogo,12
foix,197
fomena,444
fomin_gorodok,15
fominichi,39
fontenay,178
foping,50
forcados,224
forcalquier,150
forchheim,75
ford_liard,140
forfar,164
formiga,210
forssa,30
fort_dauphin,33
fort_simpson,252
fosdinovo,330
foshnya,48
fosna,19
fougeres,285
foum_zguid,2
foumban,394
fraga,107
francavilla,290
frankenberg,164
frankfurt,137
frassinoro,361
frauenfeld,212
freiberg,215
freiburg,152
freienwalde,104
freising,34
freistadt,297
frejus,287
fremont,101
french_ales,345
fresco,143
fresnes,101
freyburg,171
fribourg,154
friedberg,93
friedberg_hesse,157
friesach,115
friesoythe,57
frombork,60
froso,41
frutigen,135
frydlant,263
fryksdal,149
fryvaldov,127
fuan,212
fucheng,186
fucheng_hejian,111
fuchi,199
fuchuan,145
fuchuan_ningxia,280
fuenteovejuna,105
fuentiduena,106
fufeng,104
fugeshi,149
fugou,157
fugu,240
fuji,131
fukushima,17
fulaga_atoll,11
fulda,160
fuliang,313
fulni_o,423
fuman,179
fumin,54
funafuti_atoll,11
funai,182
funchal,340
fundeku,162
funil,457
funing,444
funing_huaian,630
funtua,1050
funza,132
fuping,224
fuping_xian,136
fuqiang,126
fuqing,165
furstenberg,189
furstenfeld,138
furubetsu,11
furubira,17
fushan,68
fushan_jiaozhou,243
fushan_muping,567
fushi,279
fushu,243
fushui,229
fushun,619
fushun_liaoyang,216
futakata,157
futi,346
futian,93
futoro,14
futra_lhewfu,119
fuwa,2
fuwa_mino,108
fuxin,369
fuyang,521
fuyang_hangzhou,562
fuzhou,658
fuzhou_guangnan,105
fuzhou_liaoyang,637
fuzhou_sichuan,654
fuzhou_songpan,225
fuzhou_yanan,278
fwai,29
gaaigosode,237
gaamiskwaabikaang,161
gabes,92
gabin,142
gabra,460
gabun,155
gacgatagyn,11
gacko,34
gadag,573
gadchiroli,616
gadegara,163
gadubanud,60
gadwal,741
gaeju,101
gaeryeong,53
gaeta,431
gafsa,164
gagi,106
gagraun,844
gahato,72
gaia,298
gaiman,133
gainou,27
gairloch,14
gaiseni,376
gaizhou,375
gakona,32
galaagu,288
galati,60
galbyn_gobi,46
galeana,167
galibal,186
galich,63
galinhas,126
galisteo,37
galkayo,101
galle,444
gallipoli,95
gallipoliita,466
galo,9
galway,105
galyax,107
gambaga,178
gambaru,113
gambela,986
gamberre,125
gambia,52
gambo,253
game_ti,11
gameleira,587
gamka,22
gamo,191
gamou,189
gampola,644
gamrun,76
gan,277
gan_gan,381
gana,888
gana_damate,139
gananggalinda,352
gananoque,34
ganaraska,47
ganatchio,111
ganda,203
gandamak,172
gandava,31
ganden_delingshar,11
ganderbal,172
gandersheim,85
gandia,243
gandikota,883
gandzasar,71
gane,62
ganen,420
gangadvara,635
gangela,169
ganggalida,352
ganggye,178
gangtok,110
gangulu,231
gani_koe,49
ganja,143
ganjam,501
ganlygala,87
gannata_giyorgis,97
ganneious,41
ganquan,185
ganserndorf,254
ganxian,428
ganyu,464
ganyushkino,92
ganze,156
ganzhou,212
gao,18
gaoan,198
gaocheng,191
gaocheng_suizhou,243
gaomi,491
gaoming,357
gaoping,117
gaoqiao,1126
gaotai,150
gaotang,222
gaoui,129
gaoyang,214
gaoyang_baoding,82
gaoyao,645
gaoyou,68
gaoyuan,423
gaoyuan_jinan,265
gap,160
gapsan,84
gapyeong,70
garabito,269
garacad,23
garadoume,160
garafraxa,44
garalo,249
garandoili,161
garbahare,369
gardelegen,98
gardez,234
gardman,57
gardr,11
garengaze,184
gargando,14
garha,657
garhwa,425
gari,189
garibams,11
gariep,205
garingbal,305
garmisch,73
garmsir,40
garoowe,40
garoumale,35
garreh,680
gartok,11
garu,24
garun_gabas,238
garwolin,153
gashowu,112
gashun,34
gaspe,56
gattaran,42
gaua,12
gaur,1375
gavrilovskoye,36
