location_tag,area_km2,capacity_people_p10,capacity_people_p50,capacity_people_p90,people_per_km2,crop_capacity_people,livestock_capacity_people,marine_capacity_people,freshwater_capacity_people,wild_capacity_people,apiary_capacity_people,rainfed_crop_capacity_people,irrigation_increment_capacity_people,tsetse_livestock_capacity_loss_people,cool_cereals_capacity_people,warm_cereals_capacity_people,wet_rice_capacity_people,maize_capacity_people,roots_tubers_capacity_people,tropical_perennials_capacity_people,feasible_cultivated_fraction,food_system,external_crop_source_coverage,normalized_capacity,model_version,source_manifest_hash
arjeplog,8191.552174,19212,28253,38989,3.449020,0,4737,0,20884,2047,585,0,0,0,0,0,0,0,0,0,0.163400,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arka,13845.751331,29565,43477,59999,3.140122,0,27926,0,11398,3338,814,0,0,0,0,0,0,0,0,0,0.396000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkaba_tura,3677.111587,8734,13719,19709,3.730886,8147,5405,0,0,125,41,8147,0,0,0,0,0,0,8147,0,0.396000,taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkadak,2443.143769,157037,230937,318694,94.524658,216960,9062,0,4916,0,0,199412,17548,0,158543,58417,0,0,0,0,0.518400,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkat,18231.461111,431450,634485,875589,34.801632,530209,104275,0,0,0,0,530209,0,0,123150,407059,0,0,0,0,0.273600,sorghum+oats,1.000000,22,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhan,3433.973390,26587,39098,53956,11.385769,27862,5243,0,5787,160,46,25609,2254,0,20648,7214,0,0,0,0,0.144000,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhangelsk,4924.663808,22828,33571,46328,6.816961,0,2848,22255,6887,1231,352,0,0,0,0,0,0,0,0,0,0.309600,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhangelskoye,2684.377278,141215,207669,286583,77.362032,202303,5208,0,0,129,29,202303,0,0,202303,0,0,0,0,0,0.396000,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhangelskoye_vologda,3772.245967,32099,47204,65141,12.513422,30102,2181,0,14339,452,129,26686,3416,0,30102,0,0,0,0,0,0.309600,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhara,20629.633655,295866,435097,600434,21.090875,378434,41609,0,13865,957,233,347825,30609,0,281310,97124,0,0,0,0,0.396000,oats+sorghum,1.000000,15,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkhyz,1340.624176,2158,3174,4380,2.367278,0,2704,0,0,391,79,0,0,0,0,0,0,0,0,0,0.088000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arkvaz,2653.882509,13009,19132,26401,7.208876,13308,5314,0,0,382,128,13308,0,0,10708,2599,0,0,0,0,0.088000,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arlal,7198.224583,23815,36414,51489,5.058697,12741,14970,0,8280,325,97,11710,1031,0,0,0,0,0,12741,0,0.144000,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arles,1119.895079,18378,27026,37296,24.132385,0,8009,10874,8050,85,8,0,0,0,0,0,0,0,0,0,0.420000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arlon,1034.138978,26673,39226,54131,37.930592,37783,1021,0,0,372,49,37783,0,0,37783,0,0,0,0,0,0.184900,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
armagh,729.225065,33494,49255,67972,67.544590,42879,2566,0,3811,0,0,41230,1649,0,42879,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
armavir,4237.359063,369890,543956,750660,128.371547,522150,15493,0,6313,0,0,479917,42233,0,383997,138153,0,0,0,0,0.518400,barley+foxtail_millet,1.000000,19,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
armizonskoye,9622.691010,251258,369498,509907,38.398568,357276,9993,0,0,1910,319,357276,0,0,357276,0,0,0,0,0,0.309600,wheat,1.000000,13,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arnay,1080.618859,45989,67630,93330,62.584807,65431,1999,0,0,168,32,65431,0,0,65431,0,0,0,0,0,0.236500,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arnedo,968.840582,74597,109701,151388,113.229374,103153,3389,0,3159,0,0,94810,8343,0,103153,0,0,0,0,0,0.518400,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arnhem,714.667100,34466,50685,69945,70.921280,46992,728,0,2760,180,24,43192,3801,0,46992,0,0,0,0,0,0.309600,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arno_atoll,315.102892,9990,15692,22544,49.799103,1905,411,13206,0,151,20,1846,59,0,0,0,0,0,1905,0,0.077400,taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arnsberg,520.255554,40862,60091,82926,115.502861,58324,1767,0,0,0,0,58324,0,0,58324,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arnstadt,814.439886,29483,43357,59833,53.235313,39342,875,0,2931,181,28,36160,3182,0,39342,0,0,0,0,0,0.309600,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aro,9148.003849,616251,906251,1250627,99.065456,884170,15325,0,6375,311,71,812656,71514,0,0,0,0,192380,691790,0,0.396000,cassava+maize,1.000000,31,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aroas,37739.568612,600927,883716,1219528,23.416164,823760,36423,0,13835,8250,1448,757132,66628,0,0,0,0,208408,615352,0,0.163400,cassava+maize,1.000000,30,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aroche,1680.726430,35910,52809,72876,31.420266,48810,3713,0,0,235,51,48810,0,0,36627,12183,0,0,0,0,0.236500,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arochukwu,4067.119040,141870,208632,287913,51.297327,202751,0,0,3833,1976,72,186352,16399,0,0,0,0,0,37168,165584,0.244800,banana+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arock,8388.551971,9231,13575,18734,1.618306,0,12808,0,0,605,162,0,0,0,0,0,0,0,0,0,0.086000,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arona,477.334958,15188,22336,30824,46.793193,18504,513,0,3140,156,23,17792,712,0,14576,3928,0,0,0,0,0.184900,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aroostook,3807.467386,22864,33623,46400,8.830899,22457,4091,0,6082,863,130,20641,1816,0,0,0,0,22457,0,0,0.309600,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arop,336.100169,17229,27061,38878,80.515602,21337,203,5372,0,145,5,20675,662,0,0,0,0,0,3491,17846,0.244800,banana+taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aror,4600.840695,11314,16638,22961,3.616325,0,9568,0,6664,317,89,0,0,0,0,0,0,0,0,0,0.144000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arque,948.000205,43685,64243,88656,67.767101,57175,4474,0,2595,0,0,52550,4624,0,0,0,0,0,57175,0,0.273600,white_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arques,974.078014,64029,94160,129941,96.666192,82053,1864,10175,0,58,11,79508,2544,0,82053,0,0,0,0,0,0.396000,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arrah,2253.724599,112894,172621,244086,76.593757,162321,5564,0,4607,104,25,149192,13129,0,0,130460,0,0,31861,0,0.396000,sorghum+taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arraias,42716.745939,3570392,5250577,7245796,122.916121,5147304,85040,0,16162,1680,392,4730978,416326,0,0,0,0,3841590,1305714,0,0.396000,maize+cassava,1.000000,100,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arran,354.082527,7109,10455,14427,29.525819,3372,678,6333,0,61,11,3268,105,0,3372,0,0,0,0,0,0.236500,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arras,770.360007,67984,99976,137968,129.778889,99245,731,0,0,0,0,99245,0,0,99245,0,0,0,0,0,0.662400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arrayda,6692.591674,2646,4046,5721,0.604525,1835,1827,0,0,195,189,1835,0,0,0,0,0,0,1835,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arroio,4015.470306,71477,129958,201435,32.364360,91100,18714,20144,0,0,0,88275,2825,0,0,0,0,23776,67324,0,0.518400,cassava+maize,0.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arroyo,780.374759,14220,20911,28858,26.796571,16176,1791,0,2874,61,11,14867,1308,0,16176,0,0,0,0,0,0.144000,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
ars,1506.548407,141983,208798,288142,138.593803,194754,1511,12532,0,0,0,188715,6039,0,194754,0,0,0,0,0,0.662400,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arshgul,883.760306,27684,40712,56183,46.066859,28898,1952,9716,0,119,27,28002,896,0,8084,20814,0,0,0,0,0.236500,sorghum+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arslanbob,2759.209563,86925,127832,176408,46.329067,121898,5491,0,0,360,83,121898,0,0,96231,25667,0,0,0,0,0.236500,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arsubaniket,1917.070746,72923,107240,147991,55.939558,100130,7110,0,0,0,0,100130,0,0,75628,24502,0,0,0,0,0.518400,barley+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arsuk,1336.035892,7393,13442,20836,10.061344,0,1506,11831,0,79,26,0,0,0,0,0,0,0,0,0,0.086000,no_crop_family,0.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arsuz,711.103144,15042,22121,30527,31.107658,8402,837,8767,3767,304,45,7837,564,0,6434,1967,0,0,0,0,0.068800,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arta,1119.711003,38558,56703,78250,50.640909,39178,6652,10873,0,0,0,37963,1215,0,32964,6214,0,0,0,0,0.309600,wheat+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artah,1436.937384,92273,135696,187260,94.434068,120809,5837,0,9049,0,0,107100,13709,0,94081,26729,0,0,0,0,0.518400,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artanuji,1626.143829,19857,29202,40298,17.957605,22615,1747,0,4051,686,103,20786,1829,0,19218,3397,0,0,0,0,0.068800,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artashavan,1145.430420,42103,61916,85444,54.054738,55703,6213,0,0,0,0,55703,0,0,55703,0,0,0,0,0,0.309600,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arthabaska,1549.976194,11115,16345,22556,10.545315,13118,3126,0,0,83,17,13118,0,0,0,0,0,13118,0,0,0.396000,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arti,5746.116176,85066,125097,172633,21.770631,110083,6173,0,7421,1222,197,101179,8904,0,110083,0,0,0,0,0,0.309600,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artush,11083.017743,6181,9090,12545,0.820207,6250,2222,0,0,307,312,6250,0,0,0,6250,0,0,0,0,0.025800,sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artyk,6536.449405,9371,13780,19017,2.108247,0,3780,0,7901,1633,467,0,0,0,0,0,0,0,0,0,0.163400,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
artyk_ata,2068.214819,5359,7881,10876,3.810607,0,3158,0,4540,143,40,0,0,0,0,0,0,0,0,0,0.144000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arua,4607.496597,171465,252155,347974,54.727113,238572,2139,0,10554,858,31,205666,32907,0,0,0,0,0,238572,0,0.420000,cassava,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arua_amazon,4310.453142,202200,297353,410347,68.984115,268650,2728,18998,5883,1055,39,239866,28784,0,0,0,0,207009,61640,0,0.420000,maize+cassava,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aruamu,2193.661448,67054,102529,144976,46.738846,81808,1415,13942,4335,994,35,73043,8765,0,0,0,0,0,81808,0,0.244800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arubeira,287.543167,5193,7637,10539,26.558699,0,1864,5757,0,14,2,0,0,0,0,0,0,0,0,0,0.518400,maize+white_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aruja,495.331908,5689,10344,16032,20.881967,7137,669,0,2334,179,24,6559,577,0,0,0,0,1872,5265,0,0.184900,cassava+maize,0.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arun,15932.381079,277212,407665,562578,25.587216,373156,32135,0,0,1889,485,373156,0,0,101974,271182,0,0,0,0,0.236500,sorghum+oats,1.000000,14,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aruni,2503.856529,603,886,1223,0.353960,247,502,0,0,65,72,247,0,0,0,0,0,0,247,0,0.009600,white_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aruppukkottai,1961.844654,88402,130002,179403,66.265356,122909,7094,0,0,0,0,122909,0,0,0,103787,0,0,19121,0,0.518400,sorghum+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arusha,11944.787026,345112,507518,700375,42.488646,435850,61978,0,9690,0,0,400597,35253,0,0,114172,0,0,321678,0,0.273600,yam+sorghum,1.000000,17,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arut,5200.459084,103998,152938,211054,29.408471,144098,2389,0,4675,1718,58,132443,11655,0,0,0,22954,0,0,121144,0.244800,banana+rice_wet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arutua_atoll,341.263338,10220,16052,23061,47.036488,1749,445,13699,0,139,21,1694,54,0,0,0,0,0,1749,0,0.077400,taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arvidsjaur,8385.910085,11195,16463,22719,1.963190,0,4849,0,8920,2096,599,0,0,0,0,0,0,0,0,0,0.309600,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aryaru,1363.388349,32176,47318,65298,34.705875,29976,947,11946,3728,691,29,26764,3212,0,0,0,21797,0,0,8179,0.146200,rice_wet+banana,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arykbalyk,35667.745961,339441,499177,688865,13.995200,399447,54459,0,43013,1775,483,354120,45327,0,293231,106216,0,0,0,0,0.144000,oats+foxtail_millet,1.000000,17,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arylakh,4442.610804,2718,3996,5515,0.899550,0,2569,0,0,1110,317,0,0,0,0,0,0,0,0,0,0.184900,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arzamas,4583.853984,197450,290368,400707,63.345760,281158,8940,0,0,220,50,281158,0,0,281158,0,0,0,0,0,0.396000,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arzew,1106.331764,51180,75265,103865,68.030995,59959,4494,10811,0,0,0,58100,1859,0,16531,43428,0,0,0,0,0.518400,sorghum+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arzgir,3647.734040,159368,234364,323422,64.249227,224504,9860,0,0,0,0,224504,0,0,42977,181527,0,0,0,0,0.518400,sorghum+barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
arzu,2676.069303,1677,2466,3403,0.921475,1583,731,0,0,76,76,1583,0,0,369,1214,0,0,0,0,0.022800,sorghum+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_salafiyah,2058.719610,19384,29639,41909,14.396760,16256,13344,0,0,34,5,16256,0,0,2897,13360,0,0,0,0,0.115200,sorghum+barley,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_salif,2596.464390,14081,21530,30443,8.292038,4381,709,16296,0,73,71,4245,136,0,0,4381,0,0,0,0,0.043200,sorghum,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_sib,1865.344908,9737,14889,21053,7.981937,384,509,13889,0,54,53,372,12,0,0,0,0,0,384,0,0.025800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_sulaymi,3084.337359,4849,7414,10483,2.403677,900,842,0,5496,88,87,828,73,0,0,0,0,0,900,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_suwaydirah,3744.842936,1226,1874,2650,0.500477,640,1022,0,0,106,106,640,0,0,0,0,0,0,640,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
as_suwayriqiyah,3158.122467,1043,1595,2255,0.505033,552,862,0,0,92,89,552,0,0,0,0,0,0,552,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asa,346.060835,17557,25820,35631,74.610637,17940,1613,6267,0,0,0,17384,556,0,0,0,17940,0,0,0,0.518400,rice_wet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asadabad,1978.356014,13885,20419,28178,10.321129,11637,4145,0,4445,160,31,10696,941,0,2379,9258,0,0,0,0,0.086000,sorghum+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asadabad_kunar,2342.999238,16753,24636,33998,10.514906,14651,4909,0,4818,216,42,13466,1185,0,3496,11155,0,0,0,0,0.032000,sorghum+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asahan,3028.040653,73650,112614,159237,37.190518,96328,1619,13515,0,1113,40,93341,2987,0,0,0,0,0,15453,80875,0.244800,banana+taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asahkaiowaipu,9867.168934,22243,32711,45141,3.315120,0,19902,0,9657,2572,580,0,0,0,0,0,0,0,0,0,0.236500,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asaita,9935.944287,37032,57193,81357,5.756174,26215,20664,0,9690,491,135,24094,2120,0,0,0,0,0,26215,0,0.144000,taro,0.750000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asaka,305.170289,11441,16825,23218,55.131858,13579,616,0,2571,49,10,13057,522,0,10317,3262,0,0,0,0,0.209000,wheat+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asakuchi,514.149221,24212,35606,49137,69.252685,25681,2396,7529,0,0,0,24885,796,0,3833,0,21848,0,0,0,0.518400,rice_wet+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asakura,363.498928,11991,17634,24334,48.510659,16698,873,0,0,52,10,16698,0,0,12094,0,4604,0,0,0,0.236500,wheat+rice_wet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asanas,3007.223973,6996,10289,14199,3.421384,0,4592,0,5430,210,58,0,0,0,0,0,0,0,0,0,0.144000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asbo,2428.087998,67152,98753,136279,40.671189,73972,9006,15775,0,0,0,71678,2294,0,73972,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aschach,842.620491,43900,64559,89091,76.616664,62873,1635,0,0,42,9,62873,0,0,62873,0,0,0,0,0,0.396000,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aschaffenburg,622.822344,14174,20844,28764,33.466603,16890,1256,0,2591,88,19,15524,1366,0,16890,0,0,0,0,0,0.236500,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aschendorf,773.435685,62919,92528,127689,119.632871,86974,2707,0,2847,0,0,79940,7035,0,86974,0,0,0,0,0,0.518400,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
ascolipiceno,649.751020,42785,62918,86827,96.834714,50088,4428,8402,0,0,0,48535,1553,0,39860,10229,0,0,0,0,0.309600,wheat+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asele,9761.280089,12503,18387,25374,1.883634,0,5644,0,9606,2439,697,0,0,0,0,0,0,0,0,0,0.420000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aseptiketiheylhets,9310.370604,635052,933900,1288781,100.307446,913217,10638,0,7945,1830,270,839354,73863,0,0,0,0,733586,179631,0,0.309600,maize+sweet_potato,1.000000,32,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asfan,3123.044446,12998,19874,28103,6.363813,1028,853,17824,0,84,86,996,32,0,0,0,0,0,1028,0,0.043200,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
asfi,916.130693,42973,63196,87210,68.981395,49591,3722,9883,0,0,0,48054,1538,0,37690,11901,0,0,0,0,0.518400,barley+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
