From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
butalin;kanna;sea;pp_nav_01869;12007;4604;12005;4602;River navigation crossing
butalin;mingin;sea;pp_nav_01864;11988;4627;11986;4625;River navigation crossing
buxar;ghazipur;sea;pp_nav_01772;11495;4770;11493;4768;River navigation crossing
bydgoszcz;chelmno;sea;pp_nav_00706;8516;6496;8518;6494;River navigation crossing
cabinda_kongo;mbanza_soyo;sea;pp_nav_02183;8274;3017;8274;3015;River navigation crossing
cabinda_kongo;nogui;sea;pp_nav_02183;8278;3021;8280;3019;River navigation crossing
cairo;giza;sea;pp_nav_01576;9112;5036;9110;5034;River navigation crossing
calabar;eket;sea;pp_nav_02037;8061;3622;8059;3620;River navigation crossing
calafat;archar;sea;pp_nav_01141;8732;5878;8730;5876;River navigation crossing
calli;bolghar;sea;pp_nav_00629;9971;6655;9973;6653;River navigation crossing
calli;cukataw;sea;pp_nav_00624;9993;6654;9991;6652;River navigation crossing
cangwu;tanjin;sea;pp_nav_01853;12737;4655;12735;4653;River navigation crossing
canindeyu;umuarama;sea;pp_nav_02292;5221;2009;5223;2007;River navigation crossing
casalmaggiore;guastalla;sea;pp_nav_01101;8175;5951;8177;5949;River navigation crossing
casqui;chucalissa;sea;pp_nav_01347;3595;5364;3597;5362;River navigation crossing
casqui;hatchie;sea;pp_nav_01329;3604;5388;3606;5386;River navigation crossing
catahoula;natchez;sea;pp_nav_01485;3522;5113;3524;5113;River navigation crossing
catahoula;opelousa;sea;pp_nav_01496;3507;5111;3505;5109;River navigation crossing
catan_lil;elcui;sea;pp_nav_02385;4536;1078;4538;1076;River navigation crossing
catan_lil;vuriloche;sea;pp_nav_02394;4486;1024;4484;1022;River navigation crossing
cegani;cernavoda;sea;pp_nav_01122;8961;5904;8963;5902;River navigation crossing
cegani;drastar;sea;pp_nav_01133;8937;5900;8935;5898;River navigation crossing
ceheng;lucheng;sea;pp_nav_01802;12504;4731;12502;4729;River navigation crossing
ceheng;tongle;sea;pp_nav_01796;12524;4733;12526;4731;River navigation crossing
ceheng;xilong;sea;pp_nav_01802;12493;4737;12491;4735;River navigation crossing
chalninsky_pochinok;yelabuga;sea;pp_nav_00606;10073;6684;10071;6682;River navigation crossing
chamo;sena;sea;pp_nav_02263;9288;2379;9286;2377;River navigation crossing
chandpur;qasba;sea;pp_nav_01857;11816;4645;11814;4643;River navigation crossing
chandpur_uttar_pradesh;mirat;sea;pp_nav_01618;11246;4974;11244;4972;River navigation crossing
chandrabad;rampur_boalla;sea;pp_nav_01827;11729;4700;11731;4700;River navigation crossing
changqing;qihe;sea;pp_nav_01317;13000;5420;12998;5418;River navigation crossing
changsha;xiangtan;sea;pp_nav_01646;12834;4919;12832;4917;River navigation crossing
changyuan;dongming;sea;pp_nav_01356;12925;5348;12927;5346;River navigation crossing
changyuan;lanyang;sea;pp_nav_01373;12917;5332;12919;5330;River navigation crossing
chapeco;lagoa_vermelha;sea;pp_nav_02318;5324;1814;5324;1812;River navigation crossing
chapeco;palmeira;sea;pp_nav_02313;5277;1828;5275;1826;River navigation crossing
chapeco;passo_fundo;sea;pp_nav_02313;5280;1826;5282;1824;River navigation crossing
chastye;osa;sea;pp_nav_00514;10193;6779;10195;6779;River navigation crossing
chastye;yelovo;sea;pp_nav_00527;10180;6770;10178;6768;River navigation crossing
chateaubriant;beaupreau;sea;pp_nav_00986;7632;6108;7634;6106;River navigation crossing
chaudandi;kosi;sea;pp_nav_01708;11646;4833;11648;4831;River navigation crossing
chaudandi;rajanari;sea;pp_nav_01708;11657;4854;11659;4854;River navigation crossing
chaudandi;saharsa;sea;pp_nav_01732;11640;4826;11642;4824;River navigation crossing
chaudandi;vijayapur;sea;pp_nav_01708;11652;4841;11654;4839;River navigation crossing
chekmagush;ufa;sea;pp_nav_00625;10214;6652;10212;6650;River navigation crossing
cherdakly;pokrovskoye;sea;pp_nav_00673;9901;6567;9899;6565;River navigation crossing
cherdakly;simbirsk;sea;pp_nav_00663;9896;6576;9894;6574;River navigation crossing
cheremkhovo;osinsky;sea;pp_nav_00690;12395;6490;12397;6488;River navigation crossing
chilia;tulcea;sea;pp_nav_01079;9024;5983;9024;5981;River navigation crossing
chillupar;akbarpur;sea;pp_nav_01727;11466;4832;11464;4830;River navigation crossing
chillupar;azamgarh;sea;pp_nav_01727;11475;4824;11473;4822;River navigation crossing
chindre;chupanga;sea;pp_nav_02264;9322;2343;9320;2341;River navigation crossing
chindre;cuama;sea;pp_nav_02265;9330;2332;9328;2330;River navigation crossing
chishmy;ufa;sea;pp_nav_00641;10237;6623;10239;6621;River navigation crossing
chitrakuta;prayag;sea;pp_nav_01778;11385;4770;11387;4768;River navigation crossing
chojna;freienwalde;sea;pp_nav_00724;8338;6473;8336;6471;River navigation crossing
chom_khao_maneerat;chiang_saen;sea;pp_nav_01893;12263;4474;12261;4472;River navigation crossing
chom_khao_maneerat;hongsa;sea;pp_nav_01904;12291;4452;12293;4450;River navigation crossing
chongde;haining;sea;pp_nav_01533;13168;5064;13170;5062;River navigation crossing
chopim;palmeira;sea;pp_nav_02313;5264;1830;5262;1828;River navigation crossing
chuapa;north_juma;sea;pp_nav_02123;8485;3169;8483;3167;River navigation crossing
chucalissa;pacaha;sea;pp_nav_01362;3589;5346;3587;5344;River navigation crossing
chunar;varanasi;sea;pp_nav_01773;11471;4760;11469;4758;River navigation crossing
ciechanow;sochaczew;sea;pp_nav_00754;8619;6444;8621;6442;River navigation crossing
cizre;eruh;sea;pp_nav_01284;9595;5486;9597;5484;River navigation crossing
cootcla;hogehege;sea;pp_nav_01374;3685;5325;3683;5323;River navigation crossing
cootcla;ongoulastoga;sea;pp_nav_01374;3676;5330;3674;5328;River navigation crossing
cremona;fiorenzuola;sea;pp_nav_01099;8139;5959;8141;5957;River navigation crossing
cremona;sandonnino;sea;pp_nav_01099;8155;5954;8153;5952;River navigation crossing
curuai;tapajo;sea;pp_nav_02107;5121;3218;5119;3216;River navigation crossing
curumanao;simiti;sea;pp_nav_01978;4334;3821;4332;3819;River navigation crossing
cuttawba;oheyandewa;sea;pp_nav_01241;3826;5576;3824;5574;River navigation crossing
dadandang;tongan_lijiang;sea;pp_nav_01671;12250;4890;12252;4888;River navigation crossing
dajal;sitpur;sea;pp_nav_01572;10907;5004;10909;5004;River navigation crossing
damanhur;el_mahalla;sea;pp_nav_01499;9089;5091;9091;5091;River navigation crossing
damanhur;menouf;sea;pp_nav_01531;9090;5089;9092;5087;River navigation crossing
daning;yanchang;sea;pp_nav_01311;12722;5424;12720;5422;River navigation crossing
danubyu;maubin;sea;pp_nav_01944;12036;4280;12038;4278;River navigation crossing
danubyu;twante;sea;pp_nav_01940;12040;4292;12042;4290;River navigation crossing
darmstadt;mainz;sea;pp_nav_00864;8070;6279;8068;6277;River navigation crossing
darmstadt;oppenheim;sea;pp_nav_00864;8071;6278;8069;6276;River navigation crossing
daye;qishui;sea;pp_nav_01545;12929;5049;12931;5049;River navigation crossing
dayr_aqul;numaniyyah;sea;pp_nav_01450;9758;5189;9756;5187;River navigation crossing
dayr_aqul;wasit;sea;pp_nav_01455;9776;5183;9778;5181;River navigation crossing
dep;tygde;sea;pp_nav_00709;13492;6494;13490;6492;River navigation crossing
dera_ghazi_khan;karor;sea;pp_nav_01504;10912;5077;10914;5075;River navigation crossing
dera_ghazi_khan;kot_addu;sea;pp_nav_01539;10912;5051;10914;5049;River navigation crossing
dera_ghazi_khan;sitpur;sea;pp_nav_01572;10913;5027;10915;5025;River navigation crossing
dera_ismail_khan;dinkot;sea;pp_nav_01465;10934;5166;10936;5164;River navigation crossing
derawar;mithankot;sea;pp_nav_01625;10904;4977;10902;4975;River navigation crossing
desnyanskyi_horodok;kyiv;sea;pp_nav_00826;9079;6326;9077;6324;River navigation crossing
dhubri;dura;sea;pp_nav_01756;11776;4789;11778;4787;River navigation crossing
dhubri;goalpara;sea;pp_nav_01746;11790;4805;11792;4803;River navigation crossing
dibrugarh;malinithan;sea;pp_nav_01688;12005;4883;12003;4881;River navigation crossing
dina;gujrat;sea;pp_nav_01434;11040;5198;11042;5196;River navigation crossing
dingbian_shunning;baotong;sea;pp_nav_01810;12251;4730;12253;4728;River navigation crossing
dinghu;jiazhou;sea;pp_nav_01274;12735;5488;12733;5486;River navigation crossing
dingi;bula_kongo;sea;pp_nav_02175;8319;3056;8317;3054;River navigation crossing
dingi;mbanza_nsundi;sea;pp_nav_02175;8326;3070;8328;3068;River navigation crossing
dipalpur;chishtian;sea;pp_nav_01543;11044;5054;11046;5052;River navigation crossing
dipalpur;firozpur;sea;pp_nav_01519;11067;5076;11069;5074;River navigation crossing
dipalpur;muktsar;sea;pp_nav_01519;11065;5074;11065;5072;River navigation crossing
djee;tygde;sea;pp_nav_00689;13471;6514;13469;6512;River navigation crossing
dluk;suruc;sea;pp_nav_01306;9418;5454;9420;5452;River navigation crossing
dobryanka;yusva;sea;pp_nav_00392;10250;6920;10248;6918;River navigation crossing
dobrzyn;kowal;sea;pp_nav_00738;8569;6460;8567;6458;River navigation crossing
dobrzyn;wloclawek;sea;pp_nav_00738;8556;6466;8554;6464;River navigation crossing
dobyaz;atishchevo;sea;pp_nav_00605;9904;6685;9902;6683;River navigation crossing
dobyaz;sviyazhsk;sea;pp_nav_00605;9911;6683;9909;6681;River navigation crossing
dongchuan;huili;sea;pp_nav_01697;12383;4835;12381;4833;River navigation crossing
donge;changqing;sea;pp_nav_01317;12996;5417;12998;5415;River navigation crossing
donge;pingyin;sea;pp_nav_01317;12990;5412;12990;5410;River navigation crossing
donge;xucheng;sea;pp_nav_01327;12978;5401;12980;5399;River navigation crossing
dongliu;wangjiang;sea;pp_nav_01558;13014;5055;13012;5053;River navigation crossing
dongsheng;hebin;sea;pp_nav_01209;12748;5653;12746;5651;River navigation crossing
duanxi;jinkang;sea;pp_nav_01860;12783;4637;12785;4635;River navigation crossing
dubbi;shadodkot;sea;pp_nav_01681;10795;4875;10793;4873;River navigation crossing
dura;rangpur_bengal;sea;pp_nav_01777;11776;4774;11774;4772;River navigation crossing
durgyeling;zhanggu;sea;pp_nav_01516;12331;5086;12329;5084;River navigation crossing
durjaya;bordowa;sea;pp_nav_01722;11878;4821;11880;4819;River navigation crossing
durjaya;guwahati;sea;pp_nav_01742;11859;4813;11861;4811;River navigation crossing
dymer;desnyanskyi_horodok;sea;pp_nav_00826;9077;6333;9079;6331;River navigation crossing
dymer;lutava;sea;pp_nav_00826;9078;6350;9080;6348;River navigation crossing
dzerzhinskoye;yemelyanovo;sea;pp_nav_00530;11953;6751;11951;6749;River navigation crossing
ed_damer;el_metemma;sea;pp_nav_01939;9225;4296;9223;4294;River navigation crossing
eidsvoll;kongsvinger;sea;pp_nav_00347;8197;6989;8199;6987;River navigation crossing
el_bahnasa;sharuna;sea;pp_nav_01599;9100;4971;9102;4969;River navigation crossing
el_bahnasa;tahna;sea;pp_nav_01628;9093;4944;9095;4942;River navigation crossing
el_balyana;qena;sea;pp_nav_01744;9146;4817;9148;4817;River navigation crossing
el_burullus;rashid;sea;pp_nav_01499;9075;5120;9073;5118;River navigation crossing
el_buwit;asyut;sea;pp_nav_01676;9109;4873;9109;4871;River navigation crossing
el_buwit;manfalut;sea;pp_nav_01676;9096;4886;9094;4884;River navigation crossing
el_metemma;qerri;sea;pp_nav_01947;9177;4251;9179;4249;River navigation crossing
el_metemma;shendi;sea;pp_nav_01939;9224;4289;9226;4287;River navigation crossing
ensisheim;freiburg;sea;pp_nav_00943;8035;6145;8037;6143;River navigation crossing
ensisheim;hachberg;sea;pp_nav_00943;8034;6154;8036;6152;River navigation crossing
enxet;kuarepoti;sea;pp_nav_02293;5086;1983;5088;1981;River navigation crossing
enxet;ycuamandiyu;sea;pp_nav_02290;5084;2007;5086;2007;River navigation crossing
escatawppa;tohome;sea;pp_nav_01497;3682;5094;3684;5092;River navigation crossing
etawah;agra;sea;pp_nav_01709;11277;4854;11275;4852;River navigation crossing
etawah;bhind;sea;pp_nav_01709;11281;4849;11279;4847;River navigation crossing
etawah;konch;sea;pp_nav_01721;11299;4830;11297;4828;River navigation crossing
ethapetha;kanawha;sea;pp_nav_01238;3960;5574;3958;5572;River navigation crossing
ethapetha;onimgohow;sea;pp_nav_01228;3969;5591;3971;5589;River navigation crossing
ethapetha;ouasioto;sea;pp_nav_01257;3933;5539;3935;5537;River navigation crossing
fancheng;gucheng;sea;pp_nav_01458;12779;5163;12777;5161;River navigation crossing
fanxian;juancheng;sea;pp_nav_01342;12948;5373;12950;5371;River navigation crossing
fanxian;yuncheng;sea;pp_nav_01342;12955;5377;12957;5375;River navigation crossing
farkhor;arkhan;sea;pp_nav_01286;10803;5460;10801;5458;River navigation crossing
farkhor;kishim;sea;pp_nav_01300;10846;5460;10848;5458;River navigation crossing
fashoda;sobat;sea;pp_nav_01969;9112;3867;9110;3865;River navigation crossing
fatehabad;firozpur;sea;pp_nav_01512;11087;5099;11089;5097;River navigation crossing
fehervar;abrahamtelke;sea;pp_nav_00969;8550;6096;8552;6094;River navigation crossing
fengqiu;lanyang;sea;pp_nav_01373;12914;5326;12916;5324;River navigation crossing
firabr;amol_turkmenabad;sea;pp_nav_01233;10579;5590;10577;5588;River navigation crossing
firabr;khoja_idat_kala;sea;pp_nav_01244;10605;5558;10603;5556;River navigation crossing
fisque_menuco;balcheta;sea;pp_nav_02380;4642;1108;4644;1106;River navigation crossing
fisque_menuco;elcui;sea;pp_nav_02375;4598;1119;4596;1117;River navigation crossing
freistadt;linz;sea;pp_nav_00932;8341;6171;8339;6169;River navigation crossing
freistadt;wels;sea;pp_nav_00932;8347;6168;8345;6166;River navigation crossing
fugu;hequ;sea;pp_nav_01229;12751;5585;12753;5583;River navigation crossing
fuwa;damanhur;sea;pp_nav_01499;9080;5107;9078;5105;River navigation crossing
galati;isaccea;sea;pp_nav_01083;8972;5980;8970;5978;River navigation crossing
gananoque;kaniatarahontsi;sea;pp_nav_01112;4241;5924;4243;5922;River navigation crossing
gananoque;nikahionhwakowa;sea;pp_nav_01127;4231;5909;4233;5907;River navigation crossing
gaur;chandrabad;sea;pp_nav_01818;11707;4714;11709;4712;River navigation crossing
gaur;jangipur;sea;pp_nav_01795;11696;4727;11694;4725;River navigation crossing
gaur;rajmahal;sea;pp_nav_01780;11690;4750;11688;4748;River navigation crossing
gengma;mengtong;sea;pp_nav_01821;12259;4681;12261;4679;River navigation crossing
gerger;cermik;sea;pp_nav_01267;9475;5518;9477;5516;River navigation crossing
gerger;siverek;sea;pp_nav_01267;9466;5509;9468;5507;River navigation crossing
germersheim;baden;sea;pp_nav_00900;8065;6213;8067;6211;River navigation crossing
ghazipur;chunar;sea;pp_nav_01772;11486;4773;11484;4771;River navigation crossing
gichthanne;lewekeomi;sea;pp_nav_01263;3777;5518;3779;5516;River navigation crossing
giurgiu;cherven;sea;pp_nav_01139;8868;5876;8870;5874;River navigation crossing
giurgiu;ruse;sea;pp_nav_01139;8870;5879;8872;5877;River navigation crossing
gniew;malbork;sea;pp_nav_00672;8548;6546;8550;6544;River navigation crossing
godagari;chandrabad;sea;pp_nav_01818;11712;4714;11710;4712;River navigation crossing
goly_karamysh;rovnoye;sea;pp_nav_00829;9769;6324;9771;6324;River navigation crossing
gomsi;bengmara;sea;pp_nav_01670;12018;4893;12020;4891;River navigation crossing
gonda;awadh;sea;pp_nav_01705;11412;4854;11410;4852;River navigation crossing
gonda;ibrahimabad;sea;pp_nav_01683;11401;4866;11399;4864;River navigation crossing
gondokoro;lado;sea;pp_nav_02025;9138;3645;9136;3643;River navigation crossing
gondokoro;rejaf;sea;pp_nav_02043;9126;3586;9124;3584;River navigation crossing
gorkovskoye;tara;sea;pp_nav_00571;11093;6712;11091;6710;River navigation crossing
gorodets;rastyapino;sea;pp_nav_00549;9675;6737;9673;6735;River navigation crossing
gorodets;vasilyeva_sloboda;sea;pp_nav_00523;9658;6769;9656;6767;River navigation crossing
gorokhovets;meshchersk;sea;pp_nav_00574;9651;6709;9649;6707;River navigation crossing
gorokhovets;pavlovo;sea;pp_nav_00582;9646;6695;9648;6693;River navigation crossing
griesbach;ried;sea;pp_nav_00920;8298;6172;8300;6170;River navigation crossing
griesbach;scharding;sea;pp_nav_00920;8300;6173;8302;6171;River navigation crossing
gromatukha;birma;sea;pp_nav_00787;13546;6389;13548;6387;River navigation crossing
guachoyo;quigualtam;sea;pp_nav_01421;3538;5232;3540;5230;River navigation crossing
guajobos;atanari;sea;pp_nav_02015;4617;3691;4615;3689;River navigation crossing
guamontey;apure;sea;pp_nav_01992;4621;3782;4619;3780;River navigation crossing
guanambi;ibotirama;sea;pp_nav_02243;5724;2652;5722;2650;River navigation crossing
guanambi;kayapo;sea;pp_nav_02246;5713;2607;5711;2605;River navigation crossing
guanghua;gucheng;sea;pp_nav_01458;12769;5182;12767;5180;River navigation crossing
guangji;dehua_jiujiang;sea;pp_nav_01581;12955;5026;12957;5024;River navigation crossing
guangji;ruichang;sea;pp_nav_01566;12950;5026;12948;5024;River navigation crossing
guangji;yongxing_xingguo;sea;pp_nav_01566;12944;5033;12942;5031;River navigation crossing
guanipa;cachamay;sea;pp_nav_01982;4835;3810;4837;3808;River navigation crossing
guanipa;caroni;sea;pp_nav_01982;4825;3805;4823;3803;River navigation crossing
guanipa;kai_kara;sea;pp_nav_01994;4719;3781;4717;3779;River navigation crossing
guarapuava;palmas;sea;pp_nav_02305;5316;1908;5314;1906;River navigation crossing
guiyang_hengyang;changning;sea;pp_nav_01717;12801;4830;12803;4828;River navigation crossing
gujrat;eminabad;sea;pp_nav_01456;11057;5177;11059;5175;River navigation crossing
gujrat;sialkot;sea;pp_nav_01438;11078;5192;11080;5190;River navigation crossing
gunnaur;baran;sea;pp_nav_01643;11256;4936;11254;4934;River navigation crossing
gunnaur;kol;sea;pp_nav_01643;11261;4929;11259;4927;River navigation crossing
gunnaur;sargadwari;sea;pp_nav_01663;11271;4919;11269;4917;River navigation crossing
gushan;jishi;sea;pp_nav_01335;12325;5401;12323;5399;River navigation crossing
guzhen;zhongli;sea;pp_nav_01443;13033;5210;13035;5208;River navigation crossing
hackensack;manhattan;sea;pp_nav_01188;4320;5687;4322;5685;River navigation crossing
hahawakpa;kiwigapawa;sea;pp_nav_01142;3540;5852;3542;5850;River navigation crossing
hajipur;patna;sea;pp_nav_01754;11571;4781;11573;4779;River navigation crossing
hajipur;sonepur_bihar;sea;pp_nav_01728;11558;4809;11556;4807;River navigation crossing
hajo;guwahati;sea;pp_nav_01745;11846;4815;11848;4813;River navigation crossing
hala;kotri;sea;pp_nav_01752;10805;4784;10803;4782;River navigation crossing
hala;ranikot;sea;pp_nav_01752;10798;4798;10796;4796;River navigation crossing
hamburg;harburg;sea;pp_nav_00696;8144;6520;8142;6518;River navigation crossing
hamburg;stade;sea;pp_nav_00696;8143;6523;8141;6521;River navigation crossing
hamburg;winsen;sea;pp_nav_00696;8152;6515;8150;6513;River navigation crossing
hancheng;hejin;sea;pp_nav_01355;12724;5367;12726;5365;River navigation crossing
hancheng;wanquan;sea;pp_nav_01355;12719;5356;12721;5356;River navigation crossing
hangzhou;xiaoshan;sea;pp_nav_01563;13160;5041;13162;5039;River navigation crossing
hanyang;jiangxia;sea;pp_nav_01541;12889;5064;12891;5062;River navigation crossing
hanyang;jiayu;sea;pp_nav_01553;12874;5049;12876;5047;River navigation crossing
hanyang;jinkou;sea;pp_nav_01553;12883;5050;12885;5048;River navigation crossing
harput;gerger;sea;pp_nav_01262;9472;5534;9470;5532;River navigation crossing
harrow;kingston;sea;pp_nav_00802;7676;6378;7676;6376;River navigation crossing
harrow;windsor;sea;pp_nav_00798;7664;6384;7662;6382;River navigation crossing
harrow;woking;sea;pp_nav_00798;7669;6379;7667;6377;River navigation crossing
harsova;orasul_de_floci;sea;pp_nav_01091;8960;5937;8958;5935;River navigation crossing
hebin;hequ;sea;pp_nav_01219;12758;5601;12756;5599;River navigation crossing
hebin;ningbian;sea;pp_nav_01209;12762;5633;12764;5633;River navigation crossing
hebin;piantouguan;sea;pp_nav_01219;12760;5605;12762;5603;River navigation crossing
hedong;tongzhou;sea;pp_nav_01376;12710;5324;12708;5322;River navigation crossing
hehe;shenmu;sea;pp_nav_01245;12740;5550;12738;5548;River navigation crossing
henley;reading;sea;pp_nav_00788;7641;6386;7639;6384;River navigation crossing
henley;windsor;sea;pp_nav_00798;7645;6383;7643;6381;River navigation crossing
heves;hajduszoboszlo;sea;pp_nav_00955;8632;6122;8634;6120;River navigation crossing
heyang_xian;hedong;sea;pp_nav_01376;12711;5332;12713;5330;River navigation crossing
heyang_xian;linjin;sea;pp_nav_01355;12715;5347;12717;5345;River navigation crossing
hezhou_he;dangtu;sea;pp_nav_01484;13078;5124;13080;5124;River navigation crossing
hezhou_he;jiangning;sea;pp_nav_01484;13085;5141;13087;5139;River navigation crossing
hezhou_he;wuhu;sea;pp_nav_01484;13077;5124;13079;5122;River navigation crossing
hillah;karbala;sea;pp_nav_01445;9705;5184;9703;5182;River navigation crossing
hillah;kufa;sea;pp_nav_01445;9709;5171;9707;5169;River navigation crossing
hillah;qadisiyyah;sea;pp_nav_01490;9717;5131;9715;5129;River navigation crossing
hillah;samawa;sea;pp_nav_01490;9729;5122;9731;5120;River navigation crossing
hinthada;hmawbi;sea;pp_nav_01940;12042;4309;12044;4307;River navigation crossing
hinthada;tharrawaddy;sea;pp_nav_01934;12035;4332;12037;4330;River navigation crossing
hiw;qus;sea;pp_nav_01749;9180;4798;9182;4796;River navigation crossing
hmawbi;danubyu;sea;pp_nav_01940;12044;4304;12042;4302;River navigation crossing
hont;buda;sea;pp_nav_00958;8559;6135;8557;6133;River navigation crossing
horodyshche;cherkasy;sea;pp_nav_00893;9188;6229;9186;6227;River navigation crossing
horodyshche;usivka;sea;pp_nav_00898;9200;6225;9198;6223;River navigation crossing
htigyaing;takawng;sea;pp_nav_01831;12067;4673;12069;4671;River navigation crossing
huaining;dongliu;sea;pp_nav_01540;13012;5057;13014;5055;River navigation crossing
huaining;guichi;sea;pp_nav_01540;13023;5064;13025;5062;River navigation crossing
huaiyuan;zhongli;sea;pp_nav_01443;13021;5200;13023;5198;River navigation crossing
huangcaoba;machang;sea;pp_nav_01808;12462;4726;12464;4724;River navigation crossing
huangcaoba;xilong;sea;pp_nav_01798;12472;4738;12474;4736;River navigation crossing
huanggang;jiangxia;sea;pp_nav_01541;12905;5074;12903;5072;River navigation crossing
huanggang;wuchang;sea;pp_nav_01541;12909;5069;12911;5067;River navigation crossing
huarong;jianli;sea;pp_nav_01585;12831;5014;12833;5012;River navigation crossing
huichuan_dechang;hequ_wuding;sea;pp_nav_01738;12339;4808;12341;4806;River navigation crossing
huichuan_dechang;luquan;sea;pp_nav_01738;12343;4813;12345;4811;River navigation crossing
huili;luquan;sea;pp_nav_01729;12364;4816;12362;4814;River navigation crossing
huili;tangdan;sea;pp_nav_01729;12367;4818;12369;4816;River navigation crossing
humati;piachi;sea;pp_nav_01463;3742;5175;3740;5173;River navigation crossing
hytop;callamaco;sea;pp_nav_01379;3780;5319;3782;5317;River navigation crossing
ibicui;yapeyu;sea;pp_nav_02333;5111;1708;5109;1706;River navigation crossing
idrinskoye;tatarskaya_tesyu;sea;pp_nav_00668;11850;6579;11848;6577;River navigation crossing
iguazu;palmas;sea;pp_nav_02303;5280;1920;5278;1918;River navigation crossing
iguazu;santo_antonio;sea;pp_nav_02301;5263;1924;5261;1922;River navigation crossing
imakia;karasor;sea;pp_nav_00776;11203;6414;11201;6412;River navigation crossing
imakia;tuzdysor;sea;pp_nav_00739;11184;6459;11182;6457;River navigation crossing
imakia;zhalauly;sea;pp_nav_00739;11173;6477;11171;6475;River navigation crossing
indrapura_khmer;srey_sarchhor;sea;pp_nav_01960;12488;4007;12486;4005;River navigation crossing
indrapura_khmer;tboung_khmum;sea;pp_nav_01960;12492;4013;12494;4011;River navigation crossing
ingapu;tharrawaddy;sea;pp_nav_01934;12036;4335;12038;4333;River navigation crossing
injangyang;waingmaw;sea;pp_nav_01750;12133;4786;12135;4784;River navigation crossing
ipholhhelhlhup;kuarepoti;sea;pp_nav_02296;5081;1963;5083;1961;River navigation crossing
ipholhhelhlhup;nemby;sea;pp_nav_02296;5076;1949;5078;1947;River navigation crossing
iranmranhre;bororos;sea;pp_nav_02266;5380;2281;5382;2281;River navigation crossing
isakhel;dinkot;sea;pp_nav_01428;10952;5211;10952;5209;River navigation crossing
ismail;tulcea;sea;pp_nav_01079;9022;5981;9024;5981;River navigation crossing
itanagar;dergaon;sea;pp_nav_01699;11962;4852;11964;4850;River navigation crossing
itanagar;morangi;sea;pp_nav_01712;11942;4846;11944;4844;River navigation crossing
itapiracaba;anais;sea;pp_nav_02252;5674;2495;5676;2493;River navigation crossing
jabar;manbij;sea;pp_nav_01318;9431;5429;9429;5427;River navigation crossing
jabar;maskanah;sea;pp_nav_01333;9425;5395;9423;5393;River navigation crossing
jabar;tabqah;sea;pp_nav_01333;9446;5384;9448;5382;River navigation crossing
jalalabad;lalpur;sea;pp_nav_01402;10901;5299;10903;5297;River navigation crossing
jalalpur_pirwala;channan_pir;sea;pp_nav_01592;10951;5002;10951;5000;River navigation crossing
jalalpur_pirwala;sitpur;sea;pp_nav_01594;10925;5001;10923;4999;River navigation crossing
jalalpur_pirwala;uch;sea;pp_nav_01594;10929;4999;10931;4997;River navigation crossing
jalandhar;firozpur;sea;pp_nav_01512;11111;5101;11109;5099;River navigation crossing
jalandhar;hajner;sea;pp_nav_01512;11114;5098;11112;5096;River navigation crossing
jalandhar;raikot;sea;pp_nav_01524;11142;5094;11144;5092;River navigation crossing
jansath;nagina;sea;pp_nav_01590;11243;4999;11245;4997;River navigation crossing
jaunpur;chunar;sea;pp_nav_01773;11475;4773;11477;4771;River navigation crossing
jeguakava;uruguay;sea;pp_nav_02326;5153;1763;5151;1761;River navigation crossing
jhang;mankera;sea;pp_nav_01513;10976;5102;10974;5100;River navigation crossing
jhanjharpur;saharsa;sea;pp_nav_01732;11626;4809;11628;4807;River navigation crossing
jiajin;sutara;sea;pp_nav_00909;13633;6190;13635;6188;River navigation crossing
jianchang_sichuan;pingchuan;sea;pp_nav_01650;12326;4919;12324;4917;River navigation crossing
jianli;baling;sea;pp_nav_01580;12840;5005;12838;5003;River navigation crossing
jiayu;xindi;sea;pp_nav_01553;12881;5046;12879;5044;River navigation crossing
jiazhou;kehu;sea;pp_nav_01264;12721;5511;12723;5511;River navigation crossing
jingling;qianjiang;sea;pp_nav_01536;12826;5068;12824;5066;River navigation crossing
jingling;yusha;sea;pp_nav_01536;12833;5068;12831;5066;River navigation crossing
jinshajiang;dayao;sea;pp_nav_01720;12296;4823;12298;4821;River navigation crossing
jiyang;licheng;sea;pp_nav_01309;13021;5440;13023;5438;River navigation crossing
jiyang;qidong;sea;pp_nav_01297;13033;5458;13035;5456;River navigation crossing
jiyang;zhangqiu;sea;pp_nav_01309;13025;5448;13027;5446;River navigation crossing
jizhou;yichuan;sea;pp_nav_01324;12721;5395;12719;5393;River navigation crossing
juniata;shamokin;sea;pp_nav_01193;4184;5668;4186;5668;River navigation crossing
kaarendy;yguazu;sea;pp_nav_02300;5203;1915;5205;1913;River navigation crossing
kabachischi;atishchevo;sea;pp_nav_00588;9882;6691;9884;6689;River navigation crossing
kabachischi;tsivilsk;sea;pp_nav_00588;9861;6708;9861;6706;River navigation crossing
kabambare;lussuna;sea;pp_nav_02173;8917;3078;8915;3076;River navigation crossing
kadyy;yuryev_povolzhsk;sea;pp_nav_00513;9646;6792;9644;6790;River navigation crossing
kahayan_hilir;banjar;sea;pp_nav_02117;12895;3171;12897;3169;River navigation crossing
kahlur;rahon;sea;pp_nav_01502;11170;5110;11168;5108;River navigation crossing
