LandProvince;SeaZone;x;y;
yexian_laizhou;laizhou_bay;13147;5468;x
changyi;laizhou_bay;13130;5464;x
beihai;laizhou_bay;13119;5462;x
muping;jingzitou_peninsula;13228;5481;x
chengshan;chengshan_cape;13272;5471;x
fushan_muping;bohai_strait;13211;5489;x
rushan;daqiao_bay;13223;5443;x
weihai;jingzitou_peninsula;13252;5482;x
wendeng;zhengjia_bay;13243;5452;x
lean;laizhou_bay;13097;5476;x
shouguang;laizhou_bay;13112;5465;x
zhanhua;southern_bohai_bay;13071;5507;x
lijin;laizhou_bay;13087;5493;x
wudi;southern_bohai_bay;13059;5517;x
baoning;zhanjiang_harbour;12746;4542;x
shicheng;tieshan_harbour;12692;4539;x
wuchuan_huazhou;zhanjiang_harbour;12733;4534;x
haikang;leizhou_bay;12708;4507;x
qingdao;tieshan_harbour;12686;4499;x
zhanchuan;zhanjiang_harbour;12716;4521;x
suixi;zhanjiang_harbour;12717;4533;x
xuwen;leizhou_bay;12708;4470;x
hepu;qinzhou_bay;12658;4545;x
anyuan_lianzhou;qinzhou_bay;12632;4561;x
ruxi;qinzhou_bay;12623;4550;x
yilun;dangzhuo_bay;12662;4440;x
yande;yingge_cape;12637;4375;x
ganen;dangzhuo_bay;12636;4407;x
changhua;dangzhuo_bay;12637;4421;x
qiongshan;leizhou_bay;12712;4459;x
lehui;gangbei_harbour;12726;4410;x
chengmai;qiongzhou_strait;12698;4454;x
lingao;qiongzhou_strait;12687;4456;x
wenchang;tonggu_cape;12735;4429;x
wanan_wananjun;gangbei_harbour;12722;4391;x
lingshui;lingshui_bay;12698;4364;x
ningyuan_wananjun;lingshui_bay;12666;4361;x
haiyang;dongshan_bay;13009;4650;x
huilai;jieshi_bay;12985;4623;x
chaoyang;dongshan_bay;12999;4636;x
sanrao;dongshan_bay;13017;4663;x
jieyang;dongshan_bay;12997;4649;x
dongguan;pearl_river_delta;12860;4621;x
baoan_dongguan;pearl_river_delta;12874;4600;x
guanfu;victoria_harbour;12886;4588;x
shunde;pearl_river_delta;12850;4616;x
panyu;pearl_river_delta;12852;4620;x
guishan;victoria_harbour;12908;4610;x
haifeng;jieshi_bay;12938;4614;x
lufeng_haifeng;jieshi_bay;12956;4619;x
pingshan_huiyang;jieshi_bay;12925;4608;x
yangjiang;guanghai_bay;12792;4557;x
duling;zhanjiang_harbour;12781;4553;x
xinhui;guanghai_bay;12838;4579;x
guanghai;guanghai_bay;12825;4564;x
xiangshan_xinhui;pearl_river_delta;12863;4587;x
yoniveem;enurmino_point;16139;7460;x
innurmin;inchoun_coast;16279;7492;x
nuvuqaq;diomede_sea;16328;7431;x
kytryn;mechigmenskiy_zaliv;16259;7397;x
yanrakynnot;mechigmenskiy_zaliv;16223;7348;x
sigheneg;achchen_bay;16153;7320;x
guvrel;mechigmenskiy_zaliv;16212;7330;x
nutepylmyn;enurmino_point;16119;7489;x
enmyl_yn;achchen_bay;16132;7333;x
nunligran;medvezh_ye_bay1;16072;7373;x
keniergyn;zaliv_kresta;15943;7441;x
ervykynnot;zaliv_kresta;15932;7447;x
valkall_an;zaliv_kresta;15900;7420;x
rykuul;konergino_coast1;15910;7388;x
ugolnye;reka_tumanskaya;15792;7331;x
nyerpicha;reka_tumanskaya;15741;7342;x
unazigmit;konergino_coast1;15876;7353;x
krasnyano;reka_tumanskaya;15670;7337;x
tavayveem;reka_tumanskaya;15688;7339;x
v_enyn;reka_tumanskaya;15737;7328;x
tumanskaya;reka_tumanskaya;15826;7280;x
y_lkytveem;beringovskii_cape2;15842;7229;x
gacgatagyn;beringovskii_cape3;15841;7168;x
mejnypilgyn;vaarn_yechgyn;15724;7157;x
vatyrkan;khatyrka_coast;15648;7124;x
vukvylgayat;bukhta_anastasii;15561;7087;x
machevna;ozero_tyulen_ye1;15511;7043;x
tyulene;ozero_tyulen_ye2;15456;7000;x
apuka;pakhachi_coast;15414;7009;x
pakhachi;bukhta_lavrova;15342;7022;x
tilichiki;zapovednik_cape;15261;7014;x
manily;okhosk_coast1;15204;7165;x
paren;okhosk_coast1;15128;7169;x
gizhiga;okhosk_coast12;14990;7112;x
skrytaya;zapovednik_cape;15212;6986;x
kichiga;bukhta_ossora;15134;6972;x
karaga;bukhta_ossora;15113;6904;x
ivashka;karaginsky_coast3;15082;6878;x
karagin;karaginsky_coast1;15178;6899;x
parapolsky;okhosk_coast1;15139;7051;x
rekinniki;okhosk_coast1;15126;7043;x
podkagernoye;okhosk_coast3;15081;7023;x
lesnaya;okhosk_coast6;15028;6972;x
palana;okhosk_coast6;14986;6935;x
voyampolka;okhosk_coast7;14946;6886;x
tigil;okhosk_coast7;14911;6857;x
kovran;okhosk_coast10;14836;6798;x
uka_town;karaginsky_coast3;15068;6832;x
kamchatsk;kamchatskiy_zaliv2;15087;6722;x
ostrov_beringa;bering_coast3;15260;6638;x
achava;bukhta_mutnaya;14908;6487;x
oktyabr_skii;ozero_bol_shoye;14801;6462;x
pauzhetka;lopatka_cape;14854;6370;x
krutogorovskiy;ichinskiy_coast;14774;6677;x
sobolevo;krutogorovskiy_coast;14769;6624;x
kirovskiy;oktyabr_skii_coast;14786;6552;x
khayryuzovo;kamtchatka_coast8;14812;6766;x
chivitkino;okhosk_coast12;14972;7108;x
evenksk;okhosk_coast14;14932;7122;x
kushka;okhosk_coast14;14862;7112;x
merenga;okhosk_coast14;14831;7094;x
takhtoyamsk;okhosk_coast15;14770;7023;x
brokhovo;okhosk_coast18;14712;6971;x
yamsk;okhosk_coast19;14674;6924;x
atargan;okhosk_coast24;14592;6941;x
magadan;okhosk_coast24;14531;6955;x
tauisk;okhosk_coast28;14437;6937;x
ushki;okhosk_coast30;14322;6938;x
okam;okhosk_coast32;14213;6933;x
ul_ya;okhosk_coast34;14096;6853;x
enken;okhosk_coast36;14036;6785;x
ayan;okhosk_coast37;13952;6701;x
avlayakan;southern_udskaya_bay;13863;6629;x
chumikan;southern_udskaya_bay;13859;6606;x
tamluk;indian_coast60;11694;4587;x
barguna;indian_coast62;11802;4569;x
chandrawip;indian_coast62;11816;4586;x
shahbazpur;indian_coast63;11826;4584;x
east_sundarban;indian_coast62;11775;4558;x
jaynagar;indian_coast61;11726;4572;x
kulpi;indian_coast60;11703;4564;x
west_sundarban;indian_coast61;11750;4558;x
satgaon;indian_coast60;11700;4586;x
chandpur;indian_coast63;11816;4634;x
kobirhat;indian_coast63;11845;4610;x
puri;indian_coast57;11594;4443;x
harishpur;indian_coast58;11630;4465;x
bhadrak;indian_coast60;11647;4515;x
balasore;indian_coast60;11650;4535;x
jalesar;indian_coast60;11665;4545;x
ratnagiri;indian_coast59;11640;4484;x
kanthi;indian_coast60;11680;4550;x
ganjam;indian_coast57;11563;4420;x
kalingapattanam;indian_coast56;11530;4374;x
brahmapur;indian_coast56;11548;4407;x
sihor;indian_coast15;10981;4563;x
palitana;indian_coast13;10959;4515;x
nagnes;indian_coast9;10868;4595;x
dwarka;indian_coast9;10841;4587;x
chhaya;indian_coast10;10849;4560;x
somnath;indian_coast11;10884;4518;x
diu;indian_coast12;10923;4497;x
lakhpat;indian_coast8;10813;4646;x
kapilkot;indian_coast9;10870;4618;x
daman;indian_coast14;11005;4479;x
surat;indian_coast14;11005;4510;x
rander;indian_coast15;11001;4545;x
broach;indian_coast15;10992;4560;x
baroda;indian_coast15;11010;4584;x
danduka;indian_coast15;10983;4581;x
ashaval;indian_coast15;11007;4586;x
khambat;indian_coast15;10994;4586;x
manora;indian_coast6;10735;4733;x
muhammad_tur;indian_coast7;10780;4676;x
laribandar;indian_coast6;10756;4699;x
visakhapatnam;indian_coast54;11485;4327;x
vizianagaram;indian_coast55;11497;4344;x
pithapuram;indian_coast53;11437;4284;x
tuni;indian_coast54;11455;4306;x
pazhaverkadu;indian_coast65;11348;4086;x
durgarazpatnam;indian_coast65;11344;4106;x
nellore;indian_coast49;11341;4143;x
kavali;indian_coast49;11342;4155;x
kandakura;indian_coast51;11338;4191;x
gudur;indian_coast49;11339;4127;x
motupalli;indian_coast51;11345;4210;x
pallakolu;indian_coast52;11412;4249;x
masulipatnam;indian_coast52;11392;4248;x
peddapalli;indian_coast51;11368;4222;x
raigarh;indian_coast17;11016;4358;x
janjira;indian_coast17;11016;4358;x
chaul;indian_coast17;11012;4391;x
bombay;indian_coast17;11013;4403;x
bassein;indian_coast16;11003;4428;x
honnavara;indian_coast22;11080;4134;x
bhatkal;indian_coast22;11082;4123;x
karwar;indian_coast22;11071;4159;x
goa;indian_coast20;11046;4211;x
madgaon;indian_coast21;11056;4185;x
rajapur;indian_coast19;11029;4266;x
dabhol;indian_coast18;11024;4305;x
mangalore;indian_coast24;11098;4055;x
udupi;indian_coast23;11091;4087;x
kasaragod;indian_coast24;11106;4029;x
kanyakumari;indian_coast30;11214;3792;x
thiruvananthapuram;indian_coast29;11186;3821;x
kollam;indian_coast28;11177;3839;x
prakkad;indian_coast28;11166;3865;x
kochi;indian_coast27;11162;3896;x
kannur;indian_coast25;11117;4007;x
thalassery;indian_coast25;11129;3990;x
kodungallur;indian_coast27;11157;3911;x
ponnani;indian_coast26;11145;3944;x
kozhikode;indian_coast25;11138;3974;x
thrissur;indian_coast26;11150;3928;x
parangipettai;indian_coast47;11324;3980;x
pondicherry;indian_coast47;11328;4012;x
madras;indian_coast48;11346;4062;x
maduranthakam;indian_coast48;11339;4032;x
kayal;indian_coast31;11233;3799;x
ramesvaram;indian_coast35;11284;3868;x
vembar;indian_coast32;11263;3849;x
thoothukudi;indian_coast32;11252;3838;x
thondi;indian_coast35;11293;3891;x
nagapattinam;indian_coast45;11329;3915;x
karaikal;indian_coast46;11326;3967;x
pattukkottai;indian_coast35;11305;3915;x
jaffna;indian_coast34;11349;3870;x
mullaitivu;indian_coast44;11372;3856;x
trincomalee;indian_coast43;11385;3816;x
mahatittha;indian_coast33;11328;3835;x
salavata;indian_coast36;11323;3787;x
madakalapu;indian_coast42;11405;3779;x
kotte;indian_coast37;11331;3708;x
negombo;indian_coast37;11326;3740;x
galle;indian_coast38;11333;3692;x
hambantota;indian_coast40;11387;3685;x
devanagara;indian_coast39;11363;3673;x
digavapi;indian_coast41;11415;3717;x
tissamaharama;indian_coast40;11405;3698;x
kavaratti_atoll;amini_coast;10980;3945;x
thiladhunmathi_atoll;raa_coast;11011;3693;x
male_atoll;male_coast;11043;3584;x
nilandhe_atoll;nilandhe_coast;11006;3480;x
addu_atoll;addu_coast;11022;3318;x
chittagong;indian_coast63;11869;4583;x
chakaria;indian_coast63;11872;4555;x
ramu;indian_coast63;11875;4540;x
sitakunda;indian_coast63;11853;4613;x
akyab;arakhan_coast;11914;4471;x
maungdaw;mayu_river_estuary;11895;4501;x
minbya;kyunthaya_island;11940;4458;x
ann;kyunthaya_island;11957;4434;x
gwa;nantha_kyun_island;11995;4323;x
ramree;ramree_island;11950;4412;x
talak_burma;kyunthaya_island;11950;4444;x
taungup;ramree_island;11976;4388;x
thandwe;ramree_island;11983;4370;x
amarendrapura;perfume_river_estuary;12600;4255;x
phon_nha;hon_la_island;12539;4329;x
visnupura;perfume_river_estuary;12573;4281;x
vrddha_ratnapura;hon_la_island;12548;4313;x
indrapura;an_vinh_island;12635;4205;x
dien_ban;perfume_river_estuary;12616;4238;x
simhapura;an_vinh_island;12629;4219;x
kauthara;van_phong_bay;12660;4003;x
aryaru;thi_nai_lagoon;12670;4068;x
panduranga;van_phong_bay;12655;3983;x
bal_cattinon;ganh_rai_bay;12595;3932;x
camp_po_thit;phan_thiet_bay;12619;3949;x
chan_bo;ganh_rai_bay;12564;3922;x
vijaya;thi_nai_lagoon;12667;4108;x
amaravati;an_vinh_island;12649;4185;x
bong_son;hoc_mo_cape;12657;4156;x
ha_va_nguon;thi_nai_lagoon;12667;4086;x
ayodhya;bight_ayodhya;12267;4090;x
dong_lakhon;bight_ayodhya;12282;4090;x
phetchaburi;bight_ayodhya;12243;4077;x
chumphon;chumphon_bay;12209;3926;x
muang_na_rang;prachuap_bay;12236;3998;x
rayong;sattahip_bay;12294;4045;x
muang_khuan_kra_buri;koh_chang_island;12332;4038;x
phanat;bight_ayodhya;12286;4087;x
chaisri;bight_ayodhya;12252;4089;x
ratchaburi;bight_ayodhya;12243;4082;x
martaban;gulf_martaban;12125;4259;x
mawlamyine;gulf_martaban;12134;4257;x
ye;mon_coast;12142;4185;x
myaungmya;western_irrawaddy_delta;11997;4225;x
dala;eastern_irrawaddy_delta;12067;4247;x
maubin;eastern_irrawaddy_delta;12049;4235;x
ngaputaw;ngayoke_bay;11978;4239;x
pathein;nantha_kyun_island;11991;4299;x
pegu;gulf_martaban;12102;4297;x
thanlyin;gulf_martaban;12083;4257;x
kawthaung;southern_mergui_archipelago;12181;3952;x
mergui;central_mergui_archipelago;12178;4034;x
tavoy;moscos_islands;12153;4134;x
thayetchaung;northern_mergui_archipelago;12173;4080;x
thaton;gulf_martaban;12117;4270;x
donwun;gulf_martaban;12114;4285;x
sittaung;gulf_martaban;12108;4286;x
or_keo;rach_gia_bay;12462;3906;x
kramuon_sa;u_minh_coast;12461;3878;x
phsar_dek;north_mekong_delta;12543;3879;x
pouthi_loeu;south_mekong_delta;12493;3846;x
srok_khleang;north_mekong_delta;12526;3865;x
toek_khmau;ca_mau_cape;12462;3819;x
peam;rach_gia_bay;12442;3922;x
kampong_saom;bay_kampong_son;12409;3954;x
koh_kong;koh_kong_island;12376;3986;x
mueng_thung_yai;koh_chang_island;12344;4026;x
kampong_roessei;ganh_rai_bay;12552;3909;x
chaiya;bandon_bay;12209;3862;x
ko_samui;chumphon_archipelago;12247;3872;x
sichon;bandon_bay;12232;3861;x
tha_tong;bandon_bay;12216;3855;x
gelanggi;johor_coast;12425;3469;x
johor_lama;eastern_singapore_strait;12425;3425;x
malacca;inner_strait_malacca;12341;3468;x
muar;inner_strait_malacca;12358;3458;x
temasek;western_singapore_strait;12414;3416;x
kedah;kedah_coast;12256;3681;x
bujang;kedah_coast;12257;3655;x
perlis;langkawi_archipelago;12247;3701;x
pattani;ta_chee_cape;12299;3726;x
kelantan;kelantan_coast;12345;3690;x
menara;kelantan_coast;12329;3701;x
pahang;tioman_island;12400;3517;x
kuantan;pahang_coast;12398;3559;x
klang;outer_strait_malacca;12302;3517;x
beruas;perak_coast;12268;3610;x
manjung;perak_coast;12276;3570;x
kajang;outer_strait_malacca;12322;3489;x
thammarat;talumpuk_cape;12247;3816;x
mardelong;songkhla_coast;12261;3779;x
satingpura;ta_chee_cape;12271;3744;x
singgora;ta_chee_cape;12280;3731;x
trang;langkawi_archipelago;12221;3747;x
dungun;south_terangganu_coast;12400;3612;x
paka;south_terangganu_coast;12402;3598;x
trengganu;north_terangganu_coast;12384;3648;x
thalang;phang_nga_bay;12171;3784;x
kraburi;kra_buri;12176;3882;x
krabi;phang_nga_bay;12193;3787;x
prasong;bandon_bay;12205;3889;x
takua_pa;phuket_coast;12162;3808;x
dien_chau;ca_river_estuary;12500;4400;x
quynh_lam;hon_me_island;12506;4412;x
anbang;ha_long_bay;12572;4512;x
quang_yen;red_river_delta;12557;4501;x
van_don;ha_long_bay;12590;4532;x
hoan_chau;ca_river_estuary;12502;4395;x
nam_sach;red_river_delta;12551;4495;x
nghe_ann;ca_river_estuary;12508;4382;x
nhat_nam;hon_la_island;12533;4352;x
thanh_hoa;hon_me_island;12511;4439;x
co_dang;hon_me_island;12516;4450;x
khet_theu;hon_me_island;12508;4425;x
thien_truong;red_river_delta;12537;4467;x
bo_hai_khau;red_river_delta;12544;4485;x
trang_an;hon_me_island;12524;4454;x
banjar;cape_selatan;12902;3153;x
pelaihari;cape_selatan;12907;3141;x
kotawaringin_lama;kotawaringin_bay;12762;3185;x
air_hitam;air_hitam_bay;12719;3185;x
jelai;kotawaringin_bay;12746;3178;x
pontianak;kapuas_delta;12655;3339;x
kubu;kapuas_delta;12666;3312;x
mendawai;sampit_bay;12848;3169;x
kahayan_hilir;sampit_bay;12863;3168;x
paser;adang_bay;12995;3239;x
bangkalan_borneo;laut_strait;12988;3200;x
cantung;laut_strait;12982;3173;x
pagatan;cape_kandanghaur;12964;3145;x
sigam;sebuku_strait;12987;3146;x
sambas;cape_api;12658;3437;x
mandor;kapuas_delta;12659;3351;x
mempawah;sambas_estuary;12648;3372;x
monterado;sambas_estuary;12647;3388;x
sampit;sampit_bay;12836;3177;x
kumai;kotawaringin_bay;12776;3186;x
seruyan;cape_siamok;12801;3163;x
sukadana;sukadana_bay;12697;3275;x
kendawangan;cape_bawang;12706;3211;x
pesaguan;cape_bawang;12702;3235;x
tanjungpura;sukadana_bay;12697;3260;x
teluk_melano;karimata_islands;12643;3259;x
tutong;brunei_bay;12907;3612;x
barulo;cape_payong;12846;3541;x
niah;cape_baram;12875;3583;x
sambaliung;berau_delta;13056;3455;x
sungai_lati;berau_delta;13065;3466;x
tanjung_palas;sesayap_delta;13051;3504;x
berune;brunei_bay;12919;3622;x
api_api;kimanis_bay;12977;3690;x
padas;brunei_bay;12950;3632;x
karangan;sangkulirang_bay;13067;3393;x
bengalon;sangkulirang_bay;13050;3380;x
sandaran;sangkulirang_bay;13075;3392;x
sangata;sangkulirang_bay;13042;3364;x
sepinang;north_makassar_strait;13101;3410;x
kinabatangan;sandakan_harbour;13091;3660;x
lahad_datu;lahad_latu_bay;13107;3624;x
kudat;kudat_peninsula;13000;3723;x
kota_marudu;paitan_bay;13014;3718;x
sandakan;sandakan_harbour;13063;3664;x
sibumbong;balabac_strait;13022;3753;x
sugut;paitan_bay;13043;3709;x
kutai_lama;mahakam_delta;13044;3314;x
jembayan;adang_bay;13020;3283;x
tuyuk;adang_bay;13002;3268;x
igan;cape_sink;12763;3499;x
mukah;cape_kidurong;12803;3513;x
sarikei;cape_sipang;12751;3463;x
tatau;cape_kidurong;12826;3518;x
santubong;cape_sipang;12705;3443;x
samarahan;cape_sipang;12727;3435;x
saribas;cape_sipang;12745;3427;x
sebuyau;cape_sipang;12735;3435;x
tandang_sari;cape_sipang;12745;3443;x
tarakan;sesayap_delta;13031;3523;x
sebuku;cowie_bay;13036;3573;x
sesayap;sesayap_delta;13047;3545;x
tawau;cowie_bay;13047;3587;x
tong_talun;lahad_latu_bay;13073;3608;x
banggai;melilis_island;13305;3265;x
bulakan;peling_strait;13294;3297;x
gori_gori;tolo_bay;13261;3261;x
lingketeng;togian_archipelago;13270;3305;x
tojo;togian_archipelago;13232;3298;x
una_una;togian_archipelago;13244;3321;x
bone;eastern_selayar_strait;13169;3079;x
bantayan;western_selayar_strait;13166;3042;x
buki;kayuadi_island;13178;2998;x
tosora;mekkongo_bay;13171;3124;x
bungku;tolo_bay;13242;3213;x
kendari;lasolo_bay;13276;3125;x
mori_celebes;tolo_bay;13221;3237;x
sambandete;lasolo_bay;13258;3156;x
butung;cape_permali;13288;3048;x
andolo;buton_strait;13261;3100;x
kalisusu;kalisusu_bay;13292;3078;x
kolumba;mekkongo_bay;13224;3121;x
kotano_muna;buton_strait;13274;3068;x
taubonto;buton_strait;13247;3089;x
donggala;palu_bay;13137;3308;x
parigi;poso_bay;13166;3298;x
pendau;south_makassar_strait;13146;3351;x
poso;poso_bay;13184;3272;x
sigi;palu_bay;13147;3301;x
gorontalo;outer_tomini_bay;13308;3365;x
atinggola;amurang_bay;13285;3397;x
boalemo;gorontalo_bay;13263;3374;x
guamonial;cape_yombu;13222;3410;x
paguat;cape_panjang;13227;3373;x
toli_toli;dondo_bay;13174;3393;x
tomini;tomini_bay;13169;3369;x
gowa;tanakeke_strait;13122;3054;x
barru;mandar_bay;13134;3113;x
bungi;mandar_bay;13129;3137;x
sengkae;pabbiring_islands;13131;3079;x
sidenreng;mandar_bay;13132;3130;x
mamudju;cape_udung;13096;3194;x
balanipa;cape_rangas;13101;3159;x
kurri_kurri;cape_belangbelang;13116;3235;x
managalang;cape_bonemanjing;13121;3275;x
manado;lembeh_island;13387;3424;x
amurang;amurang_bay;13355;3416;x
belang;cape_flesko;13365;3387;x
karakaralong_islands;marumung_bay;13460;3578;x
solimandungan;amurang_bay;13338;3400;x
tabukan;tagulandang_strait;13403;3535;x
palopo;bone_bay;13164;3182;x
luwu;bone_bay;13173;3151;x
malangke;bone_bay;13177;3191;x
malili;bone_bay;13196;3197;x
banten;jakarta_bay;12524;3018;x
pangguyangan;cape_lajar;12500;2970;x
sunda_kelapa;jakarta_bay;12556;3013;x
cirebon;cirebon_bay;12635;2978;x
cibuaya;eretan_bay;12586;3010;x
cimanuk;eretan_bay;12615;3002;x
tegal;cirebon_bay;12661;2972;x
demak;cape_korowelang;12722;2975;x
jepara;cape_korowelang;12728;2990;x
pati;cape_bendoh;12760;2982;x
pekalongan;cape_korowelang;12687;2971;x
semarang;cape_korowelang;12712;2970;x
cibadak;pelabuhan_ratu_bay;12539;2962;x
kandangwesi;pelabuhan_ratu_bay;12579;2934;x
pangandaran;penanjung_bay;12638;2921;x
mataram;southern_java_coast;12711;2904;x
bagaluhan;southern_java_coast;12675;2917;x
pacitan;sumbreng_bay;12758;2891;x
purwalingga;penanjung_bay;12646;2920;x
tulungagung;sumbreng_bay;12786;2889;x
surabaya;madura_strait;12829;2942;x
bangkalan;cape_pangkah;12825;2964;x
bawean;gresik_island;12822;3025;x
gresik;madura_strait;12820;2957;x
kangean;kangean_islands;12946;2958;x
sugeneb;sapudi_islands;12872;2970;x
tuban_java;cape_pangkah;12806;2972;x
trowulan;madura_strait;12831;2930;x
bajrajinaparamitapura;madura_strait;12844;2922;x
balambangan;bali_strait;12898;2884;x
lumajang;grajagan_bay;12841;2889;x
malang;sumbreng_bay;12806;2885;x
pakembangan;cape_canding;12893;2924;x
sadeng;grajagan_bay;12859;2882;x
samprangan;bali_strait;12949;2876;x
julah;cape_canding;12925;2900;x
lombok;lombok_strait;12976;2888;x
melara;bali_strait;12919;2881;x
sasak;alas_strait;13000;2872;x
babar;outer_babar_coast;13592;2906;x
bungabali;ombai_strait;13365;2900;x
damar;damar_archipelago;13547;2959;x
leti;leti_archipelago;13516;2900;x
sangliat_dol;cape_olinder;13658;2911;x
wetar;cape_tujau;13458;2931;x
yamdena;arafura_sea;13680;2958;x
larantuka;paluk_bay;13280;2872;x
bajo_flores;sumba_strait;13145;2863;x
cibal;sape_strait;13175;2895;x
lamakera;alor_strait;13299;2898;x
ngada;paluk_bay;13219;2860;x
sikka;pedang_bay;13254;2880;x
bima;sape_strait;13111;2882;x
dompu;saleh_bay;13074;2892;x
mamboro;karosa_cape;13107;2815;x
sabu;outer_sawu_coast;13235;2761;x
sumba;ngunju_cape;13153;2793;x
sumbawa;saleh_bay;13034;2884;x
taliwang;alas_strait;13006;2864;x
waingapo;inner_sawu_coast;13177;2815;x
laran;southern_timor_coast;13409;2839;x
balibo;timor_strait;13378;2859;x
kupang;roti_channel;13319;2776;x
lifau;rote_strait;13321;2822;x
likusaen;wetar_strait;13428;2880;x
nunkolo;siripinang_cape;13378;2812;x
sombai;siripinang_cape;13360;2793;x
tutuala;leti_strait;13478;2874;x
banda_island;banda_archipelago;13606;3099;x
kobroor;penambulai_island;13826;3006;x
ohoi_ewur;kai_archipelago;13742;3039;x
trangan;cape_lelar;13794;2992;x
wokam;aru_archipelago;13803;3027;x
bara_buru;seram_sea;13446;3180;x
kayeli;manipa_strait;13477;3164;x
obi;tobalai_strait;13505;3253;x
sanana;cape_akelamo;13427;3234;x
taliabu;capalulu_strait;13374;3258;x
tifu;south_buru_coast;13451;3137;x
bula;waru_bay;13636;3175;x
hitu;manipa_strait;13524;3152;x
huamual;manipa_strait;13511;3166;x
latu;taluti_bay;13557;3167;x
nunusaku;sawai_bay;13591;3195;x
sahulau;sawai_bay;13545;3194;x
saparua;ambon_bay;13542;3147;x
werinama;gorong_islands;13634;3141;x
ternate;dadinga_bay;13490;3394;x
daratan;kao_bay;13519;3430;x
jailolo;mayi_island;13489;3414;x
loloda;doi_island;13501;3452;x
moro;morotai_strait;13538;3492;x
wasilei;kao_bay;13527;3426;x
tidore;dadinga_bay;13488;3382;x
amassing;obi_strait;13502;3314;x
gane;weda_bay;13517;3333;x
maba_celebes;cape_lelai;13552;3427;x
misool;kofiau_island;13605;3251;x
waigeo;cape_saobas;13628;3344;x
weda;buli_bay;13550;3371;x
ibalong;san_bernandino_strait;13320;4056;x
binawangan;lamon_bay;13273;4140;x
daet;san_miguel_bay;13294;4111;x
naga_bikol;lagonay_gulf;13317;4100;x
sawangan;lagonay_gulf;13326;4075;x
vidak;yog_point;13350;4122;x
tondo;manila_bay;13191;4161;x
maynila;manila_bay;13196;4150;x
kalilayan;tayabas_bay;13246;4107;x
kumintang;tayabas_bay;13192;4113;x
mulanay;ragay_gulf;13261;4092;x
pakil;lamon_bay;13235;4129;x
tayabas;tayabas_bay;13228;4112;x
pulilu;lantao_island;13256;4166;x
binangonan;dingalan_bay;13223;4179;x
aparri;babuyan_channel;13228;4366;x
babuyan_islands;batanes_archipelago;13224;4422;x
batanes;bashi_channel;13234;4502;x
lal_lo;iligan_point;13261;4367;x
mamburao;cape_calavite;13166;4093;x
basud;tayabas_bay;13224;4056;x
kalapang;tayabas_bay;13213;4089;x
mangarin;mindoro_strait;13193;4037;x
taytay;cuyo_west_passage;13134;3945;x
aborlan;treacherous_bay;13072;3874;x
babuyan;green_island_bay;13121;3911;x
balabak;cape_buliluyan;13024;3816;x
busuanga;elibinibid_point;13149;4016;x
baler;cape_san_ildefonso;13225;4223;x
botolan;dasol_bay;13148;4208;x
hubek;cape_botolan;13154;4172;x
agoo;lingayen_gulf;13167;4252;x
binalatongan;lingayen_gulf;13165;4237;x
bolinao;cape_bolinao;13143;4253;x
kandong;dile_point;13172;4311;x
tagudin;lingayen_gulf;13172;4289;x
bigan;cape_culili;13175;4356;x
malukkit;cape_bojeador;13185;4378;x
casiguran;dicapilarin_point;13258;4260;x
malabang;moro_gulf;13333;3762;x
himologan;bigan_gulf;13367;3821;x
hingoog;butuan_bay;13382;3837;x
initao;bigan_gulf;13342;3803;x
tukuran;moro_gulf;13324;3768;x
butuan;butuan_bay;13400;3845;x
cantilan;cauit_point;13430;3858;x
cateel;cateel_bay;13459;3765;x
langan;lianga_bay;13437;3821;x
bislig;lianga_bay;13449;3803;x
cabadbaran;butuan_bay;13396;3861;x
surigao;cauit_point;13425;3870;x
kuta_watu;moro_gulf;13340;3746;x
kalamansig;malatuna_point;13334;3708;x
maimbung;pangutaran_group;13209;3680;x
bongao;tapul_group;13161;3628;x
lamitan;samales_islands;13247;3700;x
tagloc;tagloc_gulf;13407;3731;x
ata_mindanao;tagloc_gulf;13415;3748;x
makar;sarangani_bay;13390;3677;x
caraga;mayo_bay;13436;3728;x
kalagan;tagloc_gulf;13403;3712;x
mansaka;tagloc_gulf;13420;3737;x
sarangani;sarangani_strait;13407;3664;x
samboangan;basilan_strait;13243;3727;x
dapitan;sindangan_bay;13304;3822;x
panaon;bigan_gulf;13332;3802;x
sibugay;sibuguey_bay;13290;3759;x
sindangan;sindangan_bay;13281;3801;x
siocon;coronado_point;13250;3781;x
binalbagan;panay_gulf;13279;3907;x
bago_negros;tanon_strait;13317;3936;x
ilog;tolong_bay;13263;3875;x
tanjay;tanon_strait;13300;3873;x
singhapala;bohol_strait;13326;3906;x
bool;bohol_sea;13332;3872;x
kangdaya;samar_sea;13337;3958;x
talibon;bohol_strait;13354;3907;x
masbate;visayan_sea;13313;4016;x
malindig;tayabas_bay;13239;4097;x
matandang_nayon;san_bernandino_strait;13308;4051;x
parpagoha;sibuyan_sea;13267;4028;x
irong_irong;panay_gulf;13239;3940;x
aklan;tablas_bay;13247;3989;x
batan;visayan_sea;13288;3988;x
araut;visayan_sea;13289;3957;x
malandog;panay_gulf;13239;3939;x
borongan;matarinao_bay;13409;3980;x
basey;leyte_gulf;13385;3966;x
catarman;batag_island;13371;4041;x
